catalog_record_id,object_name,source_id,spectral_type,ra_deg,dec_deg,l_deg,b_deg,parallax,parallax_error,pmra,pmdec,ruwe,visibility_periods_used,phot_bp_rp_excess_factor,quality_pass,zero_point_boundary_flag,membership_probability,membership_probability_astrometric,membership_probability_mc_se,membership_basis,recovered_p_gt_0_5,gate_disposition_reason
7,ALS15148,2067781939888133248,,308.30526,41.22463,80.14874316910992,0.738674389453645,0.5251506267493973,0.017728124,-2.5809328517163883,-4.705744699877881,1.1619947,27.0,1.4419576,True,False,0.4059,0.4059,0.004910653622482449,full_covariance_astrometric_mixture,False,missed automatically: cluster-field Monte Carlo posterior P=0.4059 <= 0.5
8,Cyg#5AB,2067830941174418048,,308.09343,41.30526,80.11902576934358,0.9146601448545852,0.5380340195343063,0.022596164,-2.8502654700940826,-4.107002918766209,1.2092183,25.0,1.4999493,True,False,0.9955,0.9955,0.0006693093455196893,full_covariance_astrometric_mixture,True,recovered automatically by 10000-draw full-covariance cluster-field posterior
9,A24,2064757698797394688,,308.68379,40.8663,80.03158591504051,0.29576155977464413,0.618270256705108,0.019914357,-2.4943934067326565,-4.222034211207776,1.1083302,26.0,1.4473035,True,False,0.9983,0.9983,0.00041195994950966224,full_covariance_astrometric_mixture,True,recovered automatically by 10000-draw full-covariance cluster-field posterior
10,V1827Cyg,2067818533010251776,,307.61376,41.22365,79.84009324040717,1.1573264615269196,0.5664836777127591,0.022395594,-3.2011951401880845,-4.5269867603627665,1.0520356,27.0,1.5340933,True,False,0.9191,0.9191,0.002726814808526607,full_covariance_astrometric_mixture,True,recovered automatically by 10000-draw full-covariance cluster-field posterior
11,Cyg8A,2067784624247057920,,308.31283,41.31402,80.22398433861915,0.7872967787711004,0.6057854170375342,0.019111514,-2.6643143424159854,-4.106205694331088,1.139528,27.0,1.3241143,True,False,1.0,1.0,0.0,full_covariance_astrometric_mixture,True,recovered automatically by 10000-draw full-covariance cluster-field posterior
12,Cyg8B,2067784619950644480,,308.31148,41.3116,80.22143484750018,0.7866622607613852,0.6044010391524577,0.014675782,-2.5243711711273313,-4.484453120889924,1.1484898,26.0,1.3396913,True,False,1.0,1.0,0.0,full_covariance_astrometric_mixture,True,recovered automatically by 10000-draw full-covariance cluster-field posterior
13,HD195213,2067430718942052224,,307.13345,40.81747,79.29846791758078,1.2126016908032524,0.7559672976247077,0.015405847,-2.090348942789799,-3.10276540607377,0.92648226,25.0,1.2689282,,,,,,,False,missed automatically: posterior below the P>0.05 soft-output floor
14,CygB18,2067913164027256960,,308.74102,41.73174,80.75053794269901,0.7794833416547582,0.6183195318985151,0.022193648,-1.9000323532084422,-4.306181637818933,1.2217735,26.0,1.4773169,,,,,,,False,missed automatically: posterior below the P>0.05 soft-output floor
15,Cyg29,2067887840900094848,,308.5563,41.58413,80.549668708681,0.8018068643417927,0.575482514808098,0.013688766,-2.4166683583797326,-4.06451242085181,1.0353135,27.0,1.3473004,True,False,1.0,1.0,0.0,full_covariance_astrometric_mixture,True,recovered automatically by 10000-draw full-covariance cluster-field posterior
16,Cyg16,2067833204620693632,,308.16071,41.42049,80.2417581315407,0.9423876944904638,0.5449243225359484,0.023206796,-2.109301375894319,-4.0854998336726025,2.0953877,27.0,1.2900715,False,False,1.0,,,Berlanas2019_spectroscopic_member_manual_quality_exception,True,manual spectroscopic quality exception: RUWE=2.095 >= 1.4
17,ALS15114,2067883820810670336,,308.62333,41.52931,80.53568813556737,0.7288297967676814,0.5710489897821687,0.015671458,-2.432634739629501,-4.143753440678269,1.0829455,28.0,1.4362544,True,False,1.0,1.0,0.0,full_covariance_astrometric_mixture,True,recovered automatically by 10000-draw full-covariance cluster-field posterior
18,A11,2067829596846026880,,308.13139,41.23561,80.07987592278538,0.8503727085551472,0.6160302137524568,0.027185924,-2.4331709360044362,-3.4619899557342055,1.2974164,27.0,1.4833394,True,False,0.1593,0.1593,0.003659556120624467,full_covariance_astrometric_mixture,False,missed automatically: cluster-field Monte Carlo posterior P=0.1593 <= 0.5
19,J20315961+4114504,2067827466541470080,,307.99838,41.24735,80.03003009448943,0.9378794395049791,0.5677241988041458,0.0142946625,-2.391994660724619,-4.482341674536947,1.1626726,28.0,1.3993008,True,False,0.9987,0.9987,0.00036032069049666963,full_covariance_astrometric_mixture,True,recovered automatically by 10000-draw full-covariance cluster-field posterior
20,ALS15128,2067781871173898624,,308.30704,41.21827,80.14443455138152,0.7338110257638781,0.5447110880552785,0.013666831,-2.673921247229863,-4.510059390299473,0.9968353,27.0,1.3868548,True,False,0.9991,0.9991,0.00029986496961132553,full_covariance_astrometric_mixture,True,recovered automatically by 10000-draw full-covariance cluster-field posterior
21,A15,2067796787591714048,,307.90379,40.98584,79.77702480677264,0.840583741054485,0.5384137998033985,0.024730511,-6.7018722771709465,-3.366137922527725,1.0448209,26.0,1.49637,,,,,,,False,missed automatically: posterior below the P>0.05 soft-output floor
22,Cyg4A,2067835682818357376,,308.05759,41.45333,80.22233979131771,1.0241041824464936,0.5838864532638478,0.011684618,-2.337191192692624,-4.201931400799934,1.0833541,26.0,1.2948458,True,False,1.0,1.0,0.0,full_covariance_astrometric_mixture,True,recovered automatically by 10000-draw full-covariance cluster-field posterior
23,J20334086+4130189,2067881548771533312,,308.42026,41.50526,80.42562384446686,0.8364572491139411,0.5829339225941974,0.011575687,-2.159408115029036,-4.156700282627633,1.0890508,26.0,1.3540505,True,False,1.0,1.0,0.0,full_covariance_astrometric_mixture,True,recovered automatically by 10000-draw full-covariance cluster-field posterior
