subgroup,family,R_V,alpha,wp4_ums_map_Myr,wp4_ums_lo68_Myr,wp4_ums_hi68_Myr,wp5_fitted_posterior_mean_Myr,wp5_fitted_posterior_map_Myr,age_shift_Myr,top_node_Myr,top_node_posterior_weight,top_two_nodes_posterior_weight,turnoff_at_ums_map_Msun,turnoff_at_fitted_Msun,sn_per_k_at_ums_map,sn_per_k_at_fitted,sn_ratio_fitted_over_ums
CygOB2-B,PARSEC,3.1,2.3,3.548133892335755,3.388728192836123,3.991330963861016,4.085800341365191,4.25817895947091,0.537666449029436,4.25817895947091,0.5320067540817003,0.8366392497614892,73.67864990229991,55.83680591418659,0.0013496927252054215,0.0025970661847455625,1.9241906963307462
CygOB2-B,PARSEC,3.1,2.6,3.548133892335755,3.388728192836123,3.991330963861016,4.030413715356294,4.25817895947091,0.4822798230205385,4.25817895947091,0.4571833428431864,0.7301993161775056,73.67864990229991,57.1423091891479,0.00034831407995136986,0.0006709184842594186,1.9261882389396645
CygOB2-C,PARSEC,3.1,2.0,2.51188643150958,2.4704194541510405,2.560434411131301,2.5193664962805506,2.5896650443761953,0.007480064770970518,2.5896650443761953,0.140109714718912,0.26389921578824577,281.6604614257999,277.1141657997692,0.0,0.0,
CygOB2-C,PARSEC,3.1,2.3,2.51188643150958,2.4704194541510405,2.560434411131301,2.5166835791737423,2.5406628015751993,0.004797147664162171,2.5896650443761953,0.12410688560490347,0.24049469231891046,281.6604614257999,278.7347583763323,0.0,0.0,
CygOB2-C,PARSEC,3.1,2.6,2.51188643150958,2.4704194541510405,2.560434411131301,2.51420535788879,2.4715468164740777,0.002318926379210051,2.5896650443761953,0.10997406558108426,0.21882864229000598,281.6604614257999,280.2416738196734,0.0,0.0,
CygOB2-A,PARSEC,3.5,2.0,3.9810717055349722,3.7513284802545037,4.027146652687408,3.958263688801849,3.9810717055349722,-0.02280801673312327,4.0548882784457785,0.13445666228552838,0.2748590529933277,58.3467216491999,59.0300497600609,0.008805590186866072,0.008607191095575234,0.9774689615255138
CygOB2-A,PARSEC,3.5,2.3,3.9810717055349722,3.7513284802545037,4.027146652687408,3.9199392734414236,3.757574507157183,-0.06113243209354868,4.0548882784457785,0.08355685112391827,0.19757858404580375,58.3467216491999,60.20546365913131,0.002368081888252309,0.0022125816085944543,0.9343349229478644
CygOB2-A,PARSEC,3.5,2.6,3.9810717055349722,3.7513284802545037,4.027146652687408,3.847735943526784,3.757574507157183,-0.1333357620081883,4.0548882784457785,0.040702266975333794,0.11391291907796644,58.3467216491999,62.51698977839571,0.0006392285745660218,0.0005415769161692326,0.8472351482987353
CygOB2-B,PARSEC,3.5,2.0,2.8183829312644537,2.799329740300911,3.2528962221315054,3.343154278439476,3.514515732239489,0.5247713471750224,3.514515732239489,0.5385821297052822,0.8041669195204271,150.00000000000034,84.46059516643899,0.0,0.0035065074590431445,
CygOB2-B,PARSEC,3.5,2.3,2.8183829312644537,2.799329740300911,3.2528962221315054,3.328770474692334,3.514515732239489,0.5103875434278802,3.514515732239489,0.5395740484425274,0.7597197329123977,150.00000000000034,85.30054120431468,0.0,0.0008513741493521759,
