subgroup,family,R_V,age_fit_Myr,age_isochrone_Myr,primary_mass,n_injected,n_query,n_quality,n_cmd_ready,n_membership,n_recovered,query_fraction,quality_fraction,cmd_ready_fraction,membership_fraction,recovery_fraction,recovery_wilson95_lo,recovery_wilson95_hi,recovery_isotonic
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,11.0,400,400,310,310,305,305,1.0,0.775,0.775,0.7625,0.7625,0.7184227068794935,0.8015831568056742,0.8064705882352942
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,11.5,400,399,306,306,302,302,0.9975,0.765,0.765,0.755,0.755,0.7105566038330045,0.7945919494611584,0.8064705882352942
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,12.0,400,399,300,300,298,298,0.9975,0.75,0.75,0.745,0.745,0.7000948146222626,0.7852439914838939,0.8064705882352942
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,13.0,400,400,322,322,320,320,1.0,0.805,0.805,0.8,0.8,0.7580288635115286,0.836263552128663,0.8064705882352942
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,14.0,400,399,310,310,307,307,0.9975,0.775,0.775,0.7675,0.7675,0.7236764828773743,0.8062342544017964,0.8064705882352942
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,15.0,400,400,317,317,315,315,1.0,0.7925,0.7925,0.7875,0.7875,0.7447731098540312,0.8247571218011523,0.8064705882352942
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,16.0,400,397,320,320,318,318,0.9925,0.8,0.8,0.795,0.795,0.7527197602970003,0.8316677817491883,0.8064705882352942
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,17.0,400,398,306,306,300,300,0.995,0.765,0.765,0.75,0.75,0.7053220081939279,0.7899216715062317,0.8064705882352942
CygOB2-A,PARSEC,3.1,3.9810717055349722,3.9810717055349696,18.0,400,397,304,304,300,300,0.9925,0.76,0.76,0.75,0.75,0.7053220081939279,0.7899216715062317,0.8064705882352942
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,0.5,400,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.009512640599680667,0.0
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,0.75,400,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.009512640599680667,0.0
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,1.0,400,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.009512640599680667,0.0
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,1.25,400,4,1,1,0,0,0.01,0.0025,0.0025,0.0,0.0,0.0,0.009512640599680667,0.0
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,1.5,400,11,5,5,0,0,0.0275,0.0125,0.0125,0.0,0.0,0.0,0.009512640599680667,0.0
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,1.75,400,22,9,9,0,0,0.055,0.0225,0.0225,0.0,0.0,0.0,0.009512640599680667,0.0
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,2.0,400,90,27,27,1,1,0.225,0.0675,0.0675,0.0025,0.0025,0.00044143642943440895,0.014023640967247855,0.0025
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,2.25,400,285,73,73,10,10,0.7125,0.1825,0.1825,0.025,0.025,0.013634943739762435,0.045402064829934204,0.025
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,2.5,400,395,174,174,116,116,0.9875,0.435,0.435,0.29,0.29,0.24769592405093643,0.3362993850009294,0.29
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,2.75,400,400,317,317,265,265,1.0,0.7925,0.7925,0.6625,0.6625,0.6148092449935679,0.7070991468115359,0.6133333333333333
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,3.0,400,396,312,312,235,235,0.99,0.78,0.78,0.5875,0.5875,0.5386465880248711,0.634688699870185,0.6133333333333333
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,3.25,400,399,315,315,236,236,0.9975,0.7875,0.7875,0.59,0.59,0.5411663599855963,0.6371213647064611,0.6133333333333333
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,3.5,400,398,332,332,253,253,0.995,0.83,0.83,0.6325,0.6325,0.5841997778817278,0.6782793723593568,0.6325
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,3.75,400,400,329,329,256,256,1.0,0.8225,0.8225,0.64,0.64,0.5918335636186343,0.6855028970134551,0.64
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,4.0,400,396,340,340,300,300,0.99,0.85,0.85,0.75,0.75,0.7053220081939279,0.7899216715062317,0.7375
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,4.25,400,399,348,348,290,290,0.9975,0.87,0.87,0.725,0.725,0.6792573188568649,0.7664619928732788,0.7375
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,4.5,400,399,355,355,295,295,0.9975,0.8875,0.8875,0.7375,0.7375,0.69226759360591,0.7782139021092418,0.7375
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,4.75,400,400,345,345,298,298,1.0,0.8625,0.8625,0.745,0.745,0.7000948146222626,0.7852439914838939,0.745
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,5.0,400,399,361,361,325,325,0.9975,0.9025,0.9025,0.8125,0.8125,0.7713431632142457,0.847711436410954,0.8125
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,5.25,400,398,366,366,337,337,0.995,0.915,0.915,0.8425,0.8425,0.8035644342063322,0.8749194069828867,0.823173076923077
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,5.5,400,399,365,365,332,332,0.9975,0.9125,0.9125,0.83,0.83,0.7900900795523471,0.8636315776518637,0.823173076923077
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,5.75,400,400,362,362,332,332,1.0,0.905,0.905,0.83,0.83,0.7900900795523471,0.8636315776518637,0.823173076923077
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,6.0,400,399,372,372,346,346,0.9975,0.93,0.93,0.865,0.865,0.8280182729276188,0.8950374994346143,0.823173076923077
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,6.25,400,400,363,363,329,329,1.0,0.9075,0.9075,0.8225,0.8225,0.7820396924303856,0.8568246543828204,0.823173076923077
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,6.5,400,399,372,372,353,353,0.9975,0.93,0.93,0.8825,0.8825,0.847244320271723,0.9104785096695212,0.823173076923077
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,6.75,400,399,372,372,345,345,0.9975,0.93,0.93,0.8625,0.8625,0.825287326885749,0.8928160086794825,0.823173076923077
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,7.0,400,399,357,357,334,334,0.9975,0.8925,0.8925,0.835,0.835,0.7954710126340742,0.8681555181641397,0.823173076923077
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,7.25,400,400,372,372,354,354,1.0,0.93,0.93,0.885,0.885,0.8500077446624668,0.9126675220757792,0.823173076923077
