subgroup,family,R_V,alpha,k_median,turnoff_prior_mean_Msun,predicted_true_living,predicted_observed_living,effective_completeness,observed_living,closure_ratio,closure_ratio_lo68,closure_ratio_hi68,shortfall
CygOB2-A,PARSEC,3.1,2.3,1726.1314410414723,59.70434892054486,82.2537874177668,66.48116853019337,0.8082444665135682,59.412929296875,0.8936805806879247,0.8424739317663029,0.9471501607583135,7.068239233318373
CygOB2-A,PARSEC,3.1,2.6,2404.0542616325683,59.70434892054486,51.8197519503653,43.42377797229501,0.837977341417762,59.412929296875,1.3682118892276325,1.2857912813588024,1.4584333259385087,-15.989151324579993
CygOB2-B,PARSEC,3.1,2.0,1146.2941748674389,71.10112027358689,126.21876067409163,109.66459128552735,0.8688454133113488,79.55346601562499,0.7254252724883298,0.6787972487078028,0.7753550263654297,30.11112526990236
CygOB2-B,PARSEC,3.1,2.3,1639.0546811475847,71.10112027358689,79.28693321703938,71.95653884670176,0.9075459968886492,79.55346601562499,1.105576606249891,1.0306211444310494,1.184581052883829,-7.59692716892323
CygOB2-B,PARSEC,3.1,2.6,2286.8491810277646,71.10112027358689,49.76698706868653,47.57837047531087,0.9560227226463395,79.55346601562499,1.6720510858375546,1.5500702840363916,1.8052168008924927,-31.975095540314122
CygOB2-C,PARSEC,3.1,2.0,1280.4396191467922,119.99999999999999,149.6938653968687,116.6350009919345,0.7791568524382181,107.43566875,0.9211271731152928,0.8618294514272616,0.9840734768099877,9.1993322419345
CygOB2-C,PARSEC,3.1,2.3,1884.298652040327,119.99999999999999,94.59423747690299,76.4630781474819,0.8083270206195365,107.43566875,1.4050659658610423,1.3124331964861753,1.5080180120597377,-30.97259060251811
CygOB2-C,PARSEC,3.1,2.6,2685.3020476663287,119.99999999999999,59.7637727239497,50.31159477933067,0.8418410097990489,107.43566875,2.13540574933509,1.9831746672230235,2.3115498321056354,-57.124073970669336
CygOB2-A,PARSEC,3.5,2.0,1261.8373920046824,60.82399147486474,136.53855068429814,107.46088832468399,0.7870369780997092,65.62187734375,0.6106582438205708,0.5772780553284216,0.646312640414317,41.83901098093399
CygOB2-A,PARSEC,3.5,2.3,1813.2206833243167,60.82399147486474,86.73783708197716,70.5130232873527,0.8129442197262751,65.62187734375,0.9306348570012317,0.8784053052476438,0.9879680790656293,4.8911459436026945
CygOB2-A,PARSEC,3.5,2.6,2545.7910216961063,60.82399147486474,55.016158002858035,46.406742070418844,0.8435111384551437,65.62187734375,1.4140591305499013,1.3280172960790722,1.5093145599377105,-19.215135273331157
CygOB2-B,PARSEC,3.5,2.0,1280.9696203155763,110.31534915821896,148.49930540043042,128.30306975353767,0.8639977770102472,91.996693359375,0.7170264401007319,0.6728221711557674,0.7666160207604323,36.30637639416267
CygOB2-B,PARSEC,3.5,2.3,1847.3585533336513,110.31534915821896,92.27774029973905,83.35412438719648,0.9032961157961102,91.996693359375,1.103684959031326,1.0317294137592599,1.1833879061178463,-8.642568972178523
CygOB2-B,PARSEC,3.5,2.6,2584.5651483403944,110.31534915821896,57.35669577122374,54.662751622508765,0.9530317408893253,91.996693359375,1.6829868718407701,1.5612697951377323,1.8189871147096095,-37.33394173686624
CygOB2-C,PARSEC,3.5,2.0,1366.5486377793782,119.99999999999999,159.76071404158017,125.09797386784248,0.7830333922724195,124.055012109375,0.9916628405223469,0.9267814362385036,1.0597629327002958,1.0429617584674844
CygOB2-C,PARSEC,3.5,2.3,2030.7743873232594,119.99999999999999,101.94750946112619,83.02698101124044,0.8144091155350844,124.055012109375,1.494152992177086,1.3899233208308155,1.6020261036996837,-41.02803109813456
CygOB2-C,PARSEC,3.5,2.6,2917.0396507157875,119.99999999999999,64.92129809517441,55.20575206294664,0.8503488636658988,124.055012109375,2.2471392467930724,2.0716697337330894,2.436483179714687,-68.84926004642836
CygOB2-A,MIST,3.0,2.0,1127.0621682256156,57.565220361889864,120.57460371814686,94.9528197239442,0.7875026481190376,64.4287296875,0.678534138057335,0.6418398522167642,0.719163725092229,30.524090036444207
CygOB2-A,MIST,3.0,2.3,1600.1564839298449,57.565220361889864,75.9560063486846,61.86502653669388,0.8144849829609987,64.4287296875,1.041440265919639,0.9834672794588777,1.1042989251062396,-2.5637031508061128
CygOB2-A,MIST,3.0,2.6,2218.290181800863,57.565220361889864,47.69250120402628,40.37512827642098,0.8465718353436336,64.4287296875,1.595752940929386,1.5019690082457486,1.6988175933601954,-24.053601411079015
CygOB2-B,MIST,3.0,2.0,1104.2035516214094,61.286176831965314,119.4816016343589,104.15603489391314,0.8717328314082573,74.82004062499999,0.7183457079679255,0.6748086177101204,0.7650451149204018,29.335994268913154
CygOB2-B,MIST,3.0,2.3,1575.1118604428875,61.286176831965314,75.34758300159355,68.73525857073825,0.912242381673803,74.82004062499999,1.088524902368697,1.0211284224013164,1.1634431065491933,-6.084782054261737
CygOB2-B,MIST,3.0,2.6,2181.3385412648468,61.286176831965314,47.14010883893998,45.382210743386175,0.9627090785564394,74.82004062499999,1.6486645185284186,1.5385226255551434,1.7694980547464318,-29.437829881613816
CygOB2-C,MIST,3.0,2.0,1205.8462061416956,72.06599543130731,133.3800082230372,104.31136229919208,0.7820614475054108,99.988748046875,0.9585604659258624,0.8981167439562747,1.021244183095847,4.322614252317081
CygOB2-C,MIST,3.0,2.3,1765.893781296429,72.06599543130731,85.70941940250614,69.55820593733444,0.8115584777290016,99.988748046875,1.4374831365972218,1.3436199691019008,1.5396478263154014,-30.430542109540568
CygOB2-C,MIST,3.0,2.6,2519.6111466560765,72.06599543130731,54.96364726871062,46.48173074527935,0.8456813376673457,99.988748046875,2.151140812609044,1.9942011213782018,2.317606822819647,-53.50701730159565
CygOB2-A,MIST,3.1,2.0,1154.446277735877,57.60146123585662,123.5041920278781,97.40866580994783,0.7887073645885653,65.759646484375,0.675090310883401,0.6375302769529589,0.7159656635669517,31.649019325572837
CygOB2-A,MIST,3.1,2.3,1642.8157690781372,57.60146123585662,77.9809513875575,63.56488909153919,0.8151335417239023,65.759646484375,1.0345278254112134,0.9758946155945845,1.0991403776095794,-2.194757392835804
CygOB2-A,MIST,3.1,2.6,2279.8558785141,57.60146123585662,49.01614320934727,41.48865794042369,0.846428446302399,65.759646484375,1.5850029803037644,1.4881750035141141,1.6928852085817907,-24.270988543951304
