subgroup,family,R_V,alpha,calibration_lower_Msun,calibration_upper_Msun,window_status,absolute_95_edge_Msun,relative_95_plateau_edge_Msun_diagnostic,bright_plateau_completeness,response_true_mass_lower_Msun,response_true_mass_upper_Msun,raw_calibration_sources,membership_weighted_calibration_sources,k_mle,k_median,k_lo68,k_hi68,k_lo95,k_hi95,poisson_chi_square,poisson_chi_square_df,poisson_chi_square_p,residual_spearman_rho,residual_trend_p,max_abs_pearson_residual,residual_gate_pass
CygOB2-B,MIST,3.1,2.0,2.0,8.0,corrected_no_absolute95_edge,,4.5,0.775,0.5,8.0,312,258.4834,1120.8116066343819,1065.2227977136658,998.9104840590433,1134.690126746856,936.300641278098,1201.5176061723505,137.02648806332013,5,7.6661067002435605e-28,-0.6,0.208,8.536486444798923,False
CygOB2-C,MIST,3.1,2.0,2.0,8.0,corrected_no_absolute95_edge,,6.0,0.7675,0.5,8.0,274,226.34069999999997,1174.2099947523566,1101.6826715274124,1029.0261361933094,1180.055988732344,962.216933882914,1258.568281306631,50.11331481263733,5,1.3137439478985705e-09,-0.48571428571428577,0.3287230320699708,5.86431915597047,False
CygOB2-A,MIST,3.1,2.3,2.0,8.0,corrected_no_absolute95_edge,,3.75,0.79375,0.5,8.0,356,312.1145,1741.392347047467,1625.648427238375,1530.847757773033,1723.3657309300395,1438.2107238753836,1824.1440968681961,74.89759816163141,5,9.772156466614894e-15,-0.48571428571428577,0.3287230320699708,5.909973664786374,False
CygOB2-B,MIST,3.1,2.3,2.0,8.0,corrected_no_absolute95_edge,,4.5,0.775,0.5,8.0,312,258.4834,1636.1289377304754,1513.6251544557647,1415.203470101412,1614.0074701754083,1321.3711048427592,1717.12624073084,106.63922200461955,5,2.1010713689875823e-21,-0.48571428571428577,0.3287230320699708,7.418357574945338,False
CygOB2-C,MIST,3.1,2.3,2.0,8.0,corrected_no_absolute95_edge,,6.0,0.7675,0.5,8.0,274,226.34069999999997,1735.4377980774188,1574.5574678926282,1465.9555292507791,1691.8345446954245,1361.7234817903068,1807.5594949633978,39.110695742218695,5,2.2560611508634102e-07,-0.2,0.7040000000000001,4.9356120758455395,False
CygOB2-A,MIST,3.1,2.6,2.0,8.0,corrected_no_absolute95_edge,,3.75,0.79375,0.5,8.0,356,312.1145,2490.0583459425875,2245.0851678724225,2102.8311981534976,2388.5896920733207,1968.067963641017,2529.62294613713,61.3359454603128,5,6.434630413730326e-12,-0.48571428571428577,0.3287230320699708,5.03625949739155,False
CygOB2-B,MIST,3.1,2.6,2.0,8.0,corrected_no_absolute95_edge,,4.5,0.775,0.5,8.0,312,258.4834,2360.9685240270555,2093.2800106012887,1946.4945439051394,2244.0006623289564,1815.544206857396,2397.215560146919,85.12006702540351,5,7.103846896441757e-17,-0.48571428571428577,0.3287230320699708,6.62755302482363,False
CygOB2-C,MIST,3.1,2.6,2.0,8.0,corrected_no_absolute95_edge,,6.0,0.7675,0.5,8.0,274,226.34069999999997,2534.8852766934892,2185.6029016833645,2020.602148729996,2358.3617703163027,1871.487778228256,2531.7300278508105,36.904442542884254,5,6.259550090817902e-07,-0.028571428571428574,0.9571545189504373,4.295570653733752,False
CygOB2-A,MIST,3.5,2.0,2.0,8.0,corrected_no_absolute95_edge,,4.0,0.8,0.5,8.0,359,313.3372,1191.8883818084075,1140.4330588040161,1074.7863066609816,1207.9419580097,1014.6403880583065,1279.1096419900161,148.6696051693782,5,2.56266169388773e-30,0.14285714285714288,0.7871720116618076,10.194749444524566,False
CygOB2-B,MIST,3.5,2.0,2.0,8.0,corrected_no_absolute95_edge,,5.25,0.78625,0.5,8.0,311,255.9991,1155.2788858144665,1093.3232084706601,1023.5726643860885,1166.239290278823,959.1194526371764,1241.9303492522083,200.2572409274396,5,2.5025539528657306e-41,-0.2571428571428572,0.6227871720116619,12.190259926169249,False
