version,subgroup,family,R_V,alpha,chi2_p,max_abs_residual,incumbent_trend_p,replacement_trend_p,replacement_T,gate_incumbent,gate_replacement
repair_v2,CygOB2-A,PARSEC,3.1,2.3,0.3843701306212301,1.4659872735106108,0.8717434402332361,0.9869,0.016861364335428085,True,True
repair_v2,CygOB2-A,PARSEC,3.1,2.6,0.035772373732987736,2.8638708958971124,0.26570262390670546,0.0946,1.6272108170454866,True,True
repair_v2,CygOB2-A,PARSEC,3.5,2.0,0.9622484091358479,0.7082078753375656,0.26570262390670546,0.75315,0.3069961750270749,True,True
repair_v2,CygOB2-A,PARSEC,3.5,2.3,0.24127072082203002,2.0239836842141377,0.0,0.04355,1.9911693292942285,False,False
repair_v2,CygOB2-A,PARSEC,3.5,2.6,0.0008017936251542189,3.498002619593113,0.0,0.0003,3.6421157356191656,False,False
repair_v2,CygOB2-B,MIST,3.0,2.0,0.036595868165508576,3.226065364277292,0.07239650145772594,0.04725,-1.9788058846392496,False,False
repair_v2,CygOB2-B,MIST,3.0,2.3,0.10524586199956516,2.9002754000383772,0.6227871720116619,0.48075,-0.6943845097959742,True,True
repair_v2,CygOB2-B,MIST,3.0,2.6,0.0320804608455552,2.7877074967756057,0.4684781341107872,0.56745,0.5712459913958128,True,True
repair_v2,CygOB2-B,MIST,3.1,2.0,0.047847421310331914,2.7236989170150774,0.07239650145772594,0.06475,-1.8278811080337127,True,True
repair_v2,CygOB2-B,MIST,3.1,2.3,0.12194445175024504,2.446604565106225,0.9571545189504373,0.53515,-0.6154653674799384,True,True
repair_v2,CygOB2-B,MIST,3.1,2.6,0.0356374484028337,2.395076418064836,0.8717434402332361,0.5562,0.5823610302697392,True,True
repair_v2,CygOB2-B,MIST,3.5,2.0,3.528994230209282e-05,4.322475097002976,0.6227871720116619,0.01175,-2.462493073579705,False,False
repair_v2,CygOB2-B,MIST,3.5,2.3,0.00010603349714098466,4.263240455537014,0.6227871720116619,0.13195,-1.4775247215681364,False,False
repair_v2,CygOB2-B,MIST,3.5,2.6,2.464826053577497e-05,4.461396048383265,0.7871720116618076,0.62895,-0.47940915687003804,False,False
repair_v2,CygOB2-B,PARSEC,3.0,2.0,0.06513002229308221,2.2707698206786935,0.07239650145772594,0.0245,-2.235850562976729,True,False
repair_v2,CygOB2-B,PARSEC,3.0,2.3,0.21116188607201922,2.00269784933712,0.4684781341107872,0.3058,-1.0186109582478071,True,True
repair_v2,CygOB2-B,PARSEC,3.0,2.6,0.09508914886535413,1.9412301941071088,0.8717434402332361,0.85575,0.1795077602909626,True,True
repair_v2,CygOB2-B,PARSEC,3.1,2.0,0.008613977018017142,3.1050350916740435,0.07239650145772594,0.0095,-2.591172193925279,False,False
repair_v2,CygOB2-B,PARSEC,3.1,2.3,0.036024358255711486,3.0158551172597177,0.208,0.1412,-1.4626495936586381,False,False
repair_v2,CygOB2-B,PARSEC,3.1,2.6,0.01868584865306161,3.1252894807406157,0.9571545189504373,0.72405,-0.3487809400215858,False,False
repair_v2,CygOB2-B,PARSEC,3.5,2.0,3.396476269378862e-05,4.280423503295451,0.5440932944606415,0.05125,-1.8997614929502302,False,False
repair_v2,CygOB2-B,PARSEC,3.5,2.3,7.129928776095423e-05,4.20029772789084,0.6227871720116619,0.3893,-0.8590565667973095,False,False
repair_v2,CygOB2-B,PARSEC,3.5,2.6,9.346034785571587e-06,4.3949328491302735,0.7871720116618076,0.83015,0.2124169563585795,False,False
repair_v2,CygOB2-C,MIST,3.0,2.0,0.8314487409991917,1.1384587303957678,0.7871720116618076,0.66915,0.42294235857704676,True,True
repair_v2,CygOB2-C,MIST,3.0,2.3,0.20523433972452568,2.318662177999859,0.04156268221574335,0.0663,1.8375289954038232,False,True
repair_v2,CygOB2-C,MIST,3.0,2.6,0.0017676127081121924,3.687283481311593,0.004804664723032055,0.0013,3.2570193872966247,False,False
repair_v2,CygOB2-C,MIST,3.1,2.0,0.7392164195431732,1.263881632372418,0.07239650145772594,0.3579,0.9079153972765982,True,True
repair_v2,CygOB2-C,MIST,3.1,2.3,0.10078301050908305,2.4511564061853703,0.07239650145772594,0.0217,2.3107777348468357,True,False
repair_v2,CygOB2-C,MIST,3.1,2.6,0.0003546977032256874,3.8426080560366485,0.004804664723032055,0.00015,3.734514752903197,False,False
repair_v2,CygOB2-C,MIST,3.5,2.0,0.0376534813053589,2.843197598977819,0.6227871720116619,0.1035,-1.589510747269584,True,True
