wp5_version,family,R_V,alpha,k_total_median,M1_primaries_0p5_to_120_Msun,low_mass_0p08_to_0p5_Msun,M2_primary_system_0p08_to_120_Msun,companion_mass_Msun,M3_multiplicity_adjusted_Msun,M3_over_M1,M1_over_Wright2015,M2_over_Wright2015,M3_over_Wright2015,brown_dwarf_extension_0p01_to_0p08_Msun
repair_v6,PARSEC,3.0,2.0,3553.691962100722,19476.502489056787,3669.1466557484546,23145.64914480524,4944.874154235415,28090.523299040655,1.4422776016804766,1.1803940902458658,1.4027666148366813,1.7024559575176155,1079.2320665458033
repair_v6,PARSEC,3.0,2.3,5122.720178226968,16961.7690870086,6511.708086673595,23473.477173682197,4903.1629574252,28376.640131107397,1.6729764439985038,1.0279860052732486,1.4226349802231635,1.7197963715822664,1915.3347724909133
repair_v6,PARSEC,3.0,2.6,7201.616028360415,17513.837230425863,11270.242231731638,28784.0794621575,5881.057634122499,34665.13709628,1.9792999466763395,1.0614446806318705,1.7444896643731818,2.1009173997745454,3314.996089122634
repair_v6,PARSEC,3.1,2.0,3642.458636796973,19963.0005814927,3760.797240851821,23723.79782234452,5068.390778676734,28792.188601021255,1.4422776016804768,1.2098788231207696,1.4378059286269407,1.7449811273346214,1106.1899016070624
repair_v6,PARSEC,3.1,2.3,5257.274949313416,17407.29155892187,6682.746394545292,24090.03795346716,5031.95077842311,29121.98873189027,1.6729764439985033,1.054987367207386,1.4600023002101308,1.7649690140539558,1965.6434801501375
repair_v6,PARSEC,3.1,2.6,7382.3878911519705,17953.462026902685,11553.142996548728,29506.60502345141,6028.681409052755,35535.28643250417,1.9792999466763392,1.0880886076910719,1.7882790923303886,2.1536537231820705,3398.2076927151475
repair_v6,PARSEC,3.5,2.0,3914.144441504077,21452.01237768994,4041.309753581292,25493.322131271234,5446.43483204332,30939.756963314554,1.4422776016804768,1.3001219622842388,1.5450498261376506,1.8751367856554275,1188.699031715199
repair_v6,PARSEC,3.5,2.3,5699.680285353632,18872.133848115926,7245.106684401629,26117.240532517553,5455.394843367223,31572.635375884776,1.6729764439985035,1.1437656877646016,1.5828630625768214,1.9134930530839258,2131.0544911311495
repair_v6,PARSEC,3.5,2.6,8059.63216633521,19600.473746784315,12613.003311415634,32213.477058199947,6581.7395836412325,38795.21664184118,1.979299946676339,1.18790749980511,1.952331942921209,2.3512252510206775,3709.951906065587
repair_v6,MIST,3.0,2.0,3441.9102320371626,18863.86718835194,3553.733286944808,22417.600475296746,4789.332651538523,27206.93312683527,1.4422776016804766,1.1432646780819355,1.3586424530482877,1.6489050379900163,1045.2847157835142
repair_v6,MIST,3.0,2.3,4945.246990380161,16374.140029269454,6286.114348920428,22660.254378189882,4733.2961815108865,27393.55055970077,1.6729764439985038,0.9923721229860275,1.3733487501933261,1.6602151854364102,1848.979290239011
repair_v6,MIST,3.0,2.6,6923.935040773104,16838.536075874406,10835.682546664957,27674.218622539363,5654.294934546462,33328.513557085826,1.9792999466763392,1.0205173379317822,1.6772253710629916,2.019909912550656,3187.17597426916
repair_v6,MIST,3.1,2.0,3496.7825011035548,19164.602282009302,3610.388282562173,22774.990564571475,4865.686051885095,27640.67661645657,1.4422776016804768,1.1614910473945033,1.3803024584588772,1.6751925222094892,1061.9490505013641
repair_v6,MIST,3.1,2.3,5020.358181209482,16622.83967132918,6381.591386842935,23004.431058172115,4805.188144325428,27809.619202497543,1.6729764439985033,1.007444828565405,1.3942079429195222,1.6854314668180328,1877.0626269416593
repair_v6,MIST,3.1,2.6,7015.213731308979,17060.51960323218,10978.530061567635,28039.049664799815,5728.835876148281,33767.8855409481,1.9792999466763395,1.0339708850443745,1.699336343321201,2.046538517633218,3229.1927245311913
repair_v6,MIST,3.5,2.0,3826.0589521540196,20969.24761617639,3950.3624846239472,24919.61010080034,5323.866060102606,30243.476160902945,1.442277601680477,1.2708634918894783,1.5102794000485054,1.832937949145633,1161.948068008214
repair_v6,MIST,3.5,2.3,5566.622530143548,18431.56812510384,7075.971297253463,25507.539422357302,5328.039876895084,30835.579299252386,1.6729764439985033,1.1170647348547782,1.5459114801428668,1.8688229878334779,2081.3055030082683
repair_v6,MIST,3.5,2.6,7863.09694604833,19122.51354388053,12305.43351999978,31427.94706388031,6421.242973839999,37849.19003772031,1.9792999466763395,1.1589402147806382,1.9047240644775947,2.2938903053163826,3619.48422713628
