subgroup,family,R_V,f_bin,indicator,dmu,n_stars,measurable,grid_railed,exclusion_reason,age_map,age_lo68,age_hi68,age_lo90,age_hi90
CygOB2-C,PARSEC,3.1,0.4,ums,0.0602,396,True,False,,3.548133892335755,3.514364066198027,3.6155577209721645,3.486497409701325,3.654613244216923
CygOB2-C,PARSEC,3.1,0.4,ums,-0.0602,396,True,False,,3.9810717055349722,3.9451604535055314,4.011281903464328,3.9225582243739074,4.0325277876499435
CygOB2-C,PARSEC,3.1,0.4,pms,0.0,3,False,False,n_stars_below_15,1.7782794100389228,1.3934034311727514,2.653870076900111,1.1749459047730948,3.165070989918417
CygOB2-C,PARSEC,3.1,0.4,pms,0.0602,3,False,False,n_stars_below_15,1.7782794100389228,1.3233117237479592,2.4835275116062268,1.1316326659429903,2.9666974902028906
CygOB2-C,PARSEC,3.1,0.4,pms,-0.0602,3,False,False,n_stars_below_15,1.9952623149688795,1.476202103397932,2.8342045901580533,1.2289344321713844,3.399370115495201
CygOB2-A,PARSEC,3.1,0.5,ums,0.0,337,True,False,,4.466835921509632,4.414415080847061,4.493073828346776,4.38508538660346,4.515307652365656
CygOB2-A,PARSEC,3.1,0.5,pms,0.0,37,True,False,,3.548133892335755,3.0826383610086157,3.798061486728559,2.881649541009426,4.007833964783325
CygOB2-B,PARSEC,3.1,0.5,ums,0.0,333,True,False,,3.9810717055349722,3.930617542483887,3.997160170005668,3.904211941864103,4.013556579653353
CygOB2-B,PARSEC,3.1,0.5,pms,0.0,31,True,False,,3.548133892335755,3.3695463348688808,3.995085366875471,3.163950780504084,4.171394776800072
CygOB2-C,PARSEC,3.1,0.5,ums,0.0,396,True,False,,3.9810717055349722,3.9092374349526025,3.9947988760397064,3.8735611151097205,4.013356975909966
CygOB2-C,PARSEC,3.1,0.5,pms,0.0,3,False,False,n_stars_below_15,1.9952623149688795,1.4729423514142592,2.7752940590310198,1.220071436532811,3.2887881017683416
CygOB2-A,MIST,3.1,0.3,ums,0.0,337,True,False,,3.570672345572628,3.5633888654876857,3.594080558671915,3.5558252803738757,3.606487123384329
CygOB2-A,MIST,3.1,0.3,pms,0.0,37,True,False,,2.2477603184951818,2.236843645178511,2.742667654936405,2.180682660949563,3.039133429510198
CygOB2-B,MIST,3.1,0.3,ums,0.0,333,True,False,,3.570672345572628,3.55944859267708,3.608346857667123,3.5476906067961593,3.628318122380413
CygOB2-B,MIST,3.1,0.3,pms,0.0,31,True,False,,3.570672345572628,2.6057647518257765,3.579600658550483,2.386112315990208,3.7064156277352907
