scope,subgroup,family,R_V,alpha,sf_duration_Myr,explodability,N_SN_mean,N_SN_median,P_at_least_one,P_last_SN_within_100kyr,t_last_median_Myr,N_SN_p2p5,N_SN_p16,N_SN_p50,N_SN_p84,N_SN_p97p5
subgroup,CygOB2-C,PARSEC,3.0,2.6,2.0,all_explode,0.1222065,0.0,0.11478,0.038993,0.15751129287779286,0.0,0.0,0.0,0.0,1.0
subgroup,CygOB2-C,PARSEC,3.0,2.6,2.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-A,PARSEC,3.1,2.0,0.0,all_explode,11.0182315,11.0,0.999972,0.6235825,0.07171654106964498,5.0,8.0,11.0,14.0,18.0
subgroup,CygOB2-A,PARSEC,3.1,2.0,0.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-B,PARSEC,3.1,2.0,0.0,all_explode,11.3107205,11.0,0.999886,0.5998515,0.0753993698175135,5.0,8.0,11.0,15.0,19.0
subgroup,CygOB2-B,PARSEC,3.1,2.0,0.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.1,2.0,0.0,all_explode,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.1,2.0,0.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-A,PARSEC,3.1,2.0,1.0,all_explode,10.9344135,11.0,0.9999755,0.6206625,0.07150412909368065,5.0,8.0,11.0,14.0,18.0
subgroup,CygOB2-A,PARSEC,3.1,2.0,1.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-B,PARSEC,3.1,2.0,1.0,all_explode,11.283437,11.0,0.999895,0.6000255,0.07565791242627729,5.0,8.0,11.0,15.0,19.0
subgroup,CygOB2-B,PARSEC,3.1,2.0,1.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.1,2.0,1.0,all_explode,0.020421,0.0,0.019901,0.0198815,0.021982114595439972,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.1,2.0,1.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-A,PARSEC,3.1,2.0,2.0,all_explode,10.860348,11.0,0.9999695,0.6287765,0.06968428629611534,5.0,7.0,11.0,14.0,18.0
subgroup,CygOB2-A,PARSEC,3.1,2.0,2.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-B,PARSEC,3.1,2.0,2.0,all_explode,11.2386185,11.0,0.9999075,0.5968665,0.07616809262494373,4.0,7.0,11.0,15.0,19.0
subgroup,CygOB2-B,PARSEC,3.1,2.0,2.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.1,2.0,2.0,all_explode,0.931009,1.0,0.6014005,0.255085,0.12418174001235727,0.0,0.0,1.0,2.0,3.0
subgroup,CygOB2-C,PARSEC,3.1,2.0,2.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-A,PARSEC,3.1,2.3,0.0,all_explode,4.1702435,4.0,0.983348,0.3377265,0.1627964041012866,1.0,2.0,4.0,6.0,9.0
subgroup,CygOB2-A,PARSEC,3.1,2.3,0.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-B,PARSEC,3.1,2.3,0.0,all_explode,4.26466,4.0,0.9794915,0.3232645,0.17451947290840675,1.0,2.0,4.0,6.0,9.0
subgroup,CygOB2-B,PARSEC,3.1,2.3,0.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.1,2.3,0.0,all_explode,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.1,2.3,0.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-A,PARSEC,3.1,2.3,1.0,all_explode,4.159321,4.0,0.9833135,0.3321905,0.16800027646070603,1.0,2.0,4.0,6.0,9.0
subgroup,CygOB2-A,PARSEC,3.1,2.3,1.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-B,PARSEC,3.1,2.3,1.0,all_explode,4.271487,4.0,0.9795935,0.3212555,0.17426397731055232,1.0,2.0,4.0,6.0,9.0
subgroup,CygOB2-B,PARSEC,3.1,2.3,1.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.1,2.3,1.0,all_explode,0.006594,0.0,0.0065325,0.006527,0.02192444268058935,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.1,2.3,1.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-A,PARSEC,3.1,2.3,2.0,all_explode,4.201045,4.0,0.983949,0.334461,0.169016568677689,1.0,2.0,4.0,6.0,9.0
