subgroup,family,R_V,alpha,sf_duration_Myr,explodability,quantity,half,full,mean_half,mean_full,abs_drift,rel_drift
CygOB2-B,PARSEC,3.5,2.6,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.5,2.6,1.0,all_explode,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.5,2.6,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,PARSEC,3.5,2.6,2.0,all_explode,N_SN_median,1.0,1.0,1.459148,1.4608255,0.0016775000000002205,0.001148323328145778
CygOB2-A,PARSEC,3.5,2.6,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,PARSEC,3.5,2.6,2.0,all_explode,N_SN_median,1.0,1.0,0.738388,0.7383385,4.950000000003563e-05,6.704242024496301e-05
CygOB2-B,PARSEC,3.5,2.6,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,PARSEC,3.5,2.6,2.0,all_explode,N_SN_median,0.0,0.0,0.009675,0.0096155,5.949999999999879e-05,0.006187925744890935
CygOB2-C,PARSEC,3.5,2.6,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,MIST,3.0,2.0,0.0,all_explode,N_SN_median,10.0,10.0,10.494229,10.4966185,0.0023894999999996003,0.00022764474101822412
CygOB2-A,MIST,3.0,2.0,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,MIST,3.0,2.0,0.0,all_explode,N_SN_median,10.0,10.0,9.984587,9.984007,0.0005799999999993588,5.809290798768058e-05
CygOB2-B,MIST,3.0,2.0,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,MIST,3.0,2.0,0.0,all_explode,N_SN_median,7.0,7.0,7.025582,7.0260895,0.0005075000000003271,7.223079068382591e-05
CygOB2-C,MIST,3.0,2.0,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,MIST,3.0,2.0,1.0,all_explode,N_SN_median,11.0,11.0,10.771945,10.7702415,0.0017035000000014122,0.00015816729829144614
CygOB2-A,MIST,3.0,2.0,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,MIST,3.0,2.0,1.0,all_explode,N_SN_median,10.0,10.0,10.278873,10.282756,0.0038829999999983045,0.00037762249731475734
CygOB2-B,MIST,3.0,2.0,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,MIST,3.0,2.0,1.0,all_explode,N_SN_median,6.0,6.0,6.325766,6.3231975,0.0025684999999997515,0.0004062027162681146
CygOB2-C,MIST,3.0,2.0,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,MIST,3.0,2.0,2.0,all_explode,N_SN_median,11.0,11.0,11.435108,11.4336775,0.0014304999999996681,0.00012511285192359748
CygOB2-A,MIST,3.0,2.0,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,MIST,3.0,2.0,2.0,all_explode,N_SN_median,11.0,11.0,10.966204,10.9682925,0.002088500000001048,0.00019041250039612343
CygOB2-B,MIST,3.0,2.0,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,MIST,3.0,2.0,2.0,all_explode,N_SN_median,6.0,6.0,5.763633,5.762706,0.0009269999999999001,0.00016086192840653336
CygOB2-C,MIST,3.0,2.0,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,MIST,3.0,2.3,0.0,all_explode,N_SN_median,4.0,4.0,3.991327,3.9929825,0.001655500000000032,0.0004146023680294196
CygOB2-A,MIST,3.0,2.3,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,MIST,3.0,2.3,0.0,all_explode,N_SN_median,4.0,4.0,3.804085,3.8058135,0.0017285000000000217,0.00045417359521164705
CygOB2-B,MIST,3.0,2.3,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,MIST,3.0,2.3,0.0,all_explode,N_SN_median,2.0,2.0,2.507223,2.5073485,0.00012549999999977857,5.0052874580369884e-05
CygOB2-C,MIST,3.0,2.3,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,MIST,3.0,2.3,1.0,all_explode,N_SN_median,4.0,4.0,4.123326,4.1253535,0.002027500000000515,0.0004914730337655949
CygOB2-A,MIST,3.0,2.3,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,MIST,3.0,2.3,1.0,all_explode,N_SN_median,4.0,4.0,3.947035,3.9469145,0.00012049999999996786,3.053017743352886e-05
CygOB2-B,MIST,3.0,2.3,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,MIST,3.0,2.3,1.0,all_explode,N_SN_median,2.0,2.0,2.241577,2.2408695,0.000707499999999861,0.0003157256591692917
CygOB2-C,MIST,3.0,2.3,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,MIST,3.0,2.3,2.0,all_explode,N_SN_median,4.0,4.0,4.447475,4.447409,6.599999999945538e-05,1.4840101281320287e-05
CygOB2-A,MIST,3.0,2.3,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,MIST,3.0,2.3,2.0,all_explode,N_SN_median,4.0,4.0,4.274745,4.276725,0.0019799999999996487,0.000462971081844086
CygOB2-B,MIST,3.0,2.3,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,MIST,3.0,2.3,2.0,all_explode,N_SN_median,2.0,2.0,2.075654,2.075212,0.00044200000000005346,0.00021299028725742404
CygOB2-C,MIST,3.0,2.3,2.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,MIST,3.0,2.6,0.0,all_explode,N_SN_median,1.0,1.0,1.484692,1.484914,0.0002220000000001665,0.00014950360761644546
CygOB2-A,MIST,3.0,2.6,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,MIST,3.0,2.6,0.0,all_explode,N_SN_median,1.0,1.0,1.410915,1.410491,0.00042399999999997995,0.00030060454125547766
CygOB2-B,MIST,3.0,2.6,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,MIST,3.0,2.6,0.0,all_explode,N_SN_median,1.0,1.0,0.817902,0.8180915,0.0001894999999999536,0.00023163668122692095
CygOB2-C,MIST,3.0,2.6,0.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,MIST,3.0,2.6,1.0,all_explode,N_SN_median,1.0,1.0,1.549719,1.549687,3.2000000000032e-05,2.0649331123015165e-05
CygOB2-A,MIST,3.0,2.6,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-B,MIST,3.0,2.6,1.0,all_explode,N_SN_median,1.0,1.0,1.47756,1.4776765,0.00011650000000007488,7.883998967302713e-05
CygOB2-B,MIST,3.0,2.6,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-C,MIST,3.0,2.6,1.0,all_explode,N_SN_median,1.0,1.0,0.731959,0.732157,0.00019799999999992046,0.0002704338004006251
CygOB2-C,MIST,3.0,2.6,1.0,islands,N_SN_median,0.0,0.0,0.0,0.0,0.0,
CygOB2-A,MIST,3.0,2.6,2.0,all_explode,N_SN_median,2.0,2.0,1.699686,1.6980335,0.0016525000000000567,0.0009731845690912793
