subgroup,family,R_V,alpha,k_median,turnoff_prior_mean_Msun,predicted_true_living,predicted_observed_living,effective_completeness,observed_living,closure_ratio,closure_ratio_lo68,closure_ratio_hi68,shortfall
CygOB2-C,PARSEC,3.5,2.3,2050.6016795645364,119.99999999999999,102.94286526035923,86.0197421628073,0.835606643988871,124.055012109375,1.4421690764264248,1.343323569190665,1.5490374168784047,-38.035269946567695
CygOB2-C,PARSEC,3.5,2.6,2940.3863731640463,119.99999999999999,65.44090005781375,57.47960728256597,0.8783437763200937,124.055012109375,2.158243905521635,1.9941486271463778,2.346915695153765,-66.57540482680903
CygOB2-A,MIST,3.0,2.0,1135.3035097907637,57.565220361889864,121.45627335566833,97.46649724609658,0.802482198351987,64.4287296875,0.6610346273635097,0.6239511075658868,0.7001949820843606,33.037767558596585
CygOB2-A,MIST,3.0,2.3,1609.3339991380733,57.565220361889864,76.39164336945232,63.72146137025816,0.8341417799075553,64.4287296875,1.0110993737750646,0.9527204310321935,1.0723733045335364,-0.7072683172418337
CygOB2-A,MIST,3.0,2.6,2227.0512473752133,57.565220361889864,47.880861200333904,41.73201462571053,0.8715802844711471,64.4287296875,1.5438681852614495,1.4485557490127077,1.6427818636893186,-22.69671506178946
CygOB2-B,MIST,3.0,2.0,1110.4178942259919,61.286176831965314,120.1540316463887,107.0256978628965,0.890737467535599,74.82004062499999,0.6990848190576339,0.6569546847691957,0.7456676988058034,32.2056572378965
CygOB2-B,MIST,3.0,2.3,1578.5427864309186,61.286176831965314,75.51170593606425,70.6732296637826,0.9359241562311097,74.82004062499999,1.058675837809383,0.992193025738228,1.1319832218532624,-4.146810961217383
CygOB2-B,MIST,3.0,2.6,2183.186654459405,61.286176831965314,47.18004773677271,46.802295551193716,0.9919933911960719,74.82004062499999,1.598640403079367,1.4890352204752195,1.7196866457099462,-28.017745073806275
CygOB2-C,MIST,3.0,2.0,1213.208432501479,72.06599543130731,134.19435238019946,107.8585963201919,0.8037491474649164,99.988748046875,0.927035502576408,0.8690519930737923,0.989744155423489,7.86984827331689
CygOB2-C,MIST,3.0,2.3,1772.3894502830158,72.06599543130731,86.02469318814828,72.16464428074921,0.8388829021792016,99.988748046875,1.3855642058994837,1.2951105968799084,1.4850875712956146,-27.824103766125788
CygOB2-C,MIST,3.0,2.6,2526.91899795931,72.06599543130731,55.123063201544625,48.47524091787053,0.8794003471946419,99.988748046875,2.0626766603652684,1.9126972329901708,2.2282080979146883,-51.51350712900447
CygOB2-A,MIST,3.1,2.0,1161.0501862804792,57.60146123585662,124.21068691183814,100.17379650048248,0.8064829121473542,65.759646484375,0.6564555680392753,0.6206706509216338,0.6962117677662613,34.414150016107484
CygOB2-A,MIST,3.1,2.3,1648.4380925623282,57.60146123585662,78.24783105998227,65.54332134600595,0.8376375480077211,65.759646484375,1.0033004909413585,0.9469911707887306,1.065926285297597,-0.21632513836904366
CygOB2-A,MIST,3.1,2.6,2283.0844704101705,57.60146123585662,49.08555686142666,42.91766932712376,0.8743441466556965,65.759646484375,1.5322278100226476,1.4407411859126507,1.6350138486437278,-22.841977157251236
CygOB2-B,MIST,3.1,2.0,1136.775211438116,61.88780538104223,123.32183080249008,109.99223044905666,0.8919120786101379,78.4266015625,0.7130194673052256,0.6684230700989574,0.760604309007652,31.565628886556667
CygOB2-B,MIST,3.1,2.3,1618.9836935311312,61.88780538104223,77.57817475331987,72.72031946173905,0.9373811602679795,78.4266015625,1.0784688810912504,1.0086685269717033,1.153624135639609,-5.706282100760944
CygOB2-B,MIST,3.1,2.6,2244.0525174760683,61.88780538104223,48.549063957582845,48.23681351568865,0.9935683529930257,78.4266015625,1.6258661351457708,1.5142264527472493,1.7510059884690103,-30.189788046811344
CygOB2-C,MIST,3.1,2.0,1221.2973796923025,69.80642667096501,134.5266532780181,107.48269790859534,0.7989695371850762,104.360986328125,0.9709561479083351,0.9117875234204633,1.0361717099445669,3.121711580470347
CygOB2-C,MIST,3.1,2.3,1774.0786334860884,69.80642667096501,85.87735831403938,71.58953329919485,0.8336252384173684,104.360986328125,1.457768775946172,1.364905820693633,1.5594260934579915,-32.77145302893014
CygOB2-C,MIST,3.1,2.6,2502.10048753858,69.80642667096501,54.49084055828947,47.605433092955515,0.8736410120528687,104.360986328125,2.1922074760741537,2.040313306844784,2.3609330888653752,-56.75555323516948
CygOB2-A,MIST,3.5,2.0,1216.7907407354705,57.619525698618666,130.17388526408288,105.1113087956783,0.807468476357141,72.0868921875,0.6858148092097954,0.6479260222816292,0.7265499027139455,33.0244166081783
