source_id,ra,dec,l,b,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,absolute_g_observed,recovery_probability,lookback_Myr,implied_velocity_km_s,in_velocity_window,is_runaway_candidate,false_positive_rate_at_separation
2067147384241225728,312.10587957530146,44.82598695221377,84.69656887861473,0.747912278972335,0.46075883766615433,0.023007838,-0.30341497226063974,-1.917727022525249,10.8676195,3.4348707,-0.17995548,1.0,3.983050847457627,26.050507060770723,True,True,0.019555555555555555
2058131491974019968,306.4918279437791,38.35210411955104,77.0053310702334,0.18070898651255143,0.6687167121860016,0.05172957,-3.555680340709531,-6.061444032943019,7.0272207,5.187431,-4.0203543,1.0,3.983050847457627,14.856728826161298,True,True,0.04978165938864629
2064100195142742144,307.8004742574403,38.54530734280966,77.76135171427407,-0.5377229688421378,0.8393847485361935,0.012198907,-3.765223572445916,-8.835625512217499,10.914267,2.1772308,-0.13330841,1.0,1.3559322033898304,35.652497332352574,True,True,0.08485499462943072
2163736255240787712,314.79122374974213,46.36719652416114,87.08475516178235,0.2988613989159631,0.7916771604387346,0.0111469375,4.089765389600479,0.9773436553425883,10.419125,1.9071083,-0.6284504,1.0,2.711864406779661,66.16529187878086,True,True,0.006244424620874219
2070240314753401600,311.2559626209975,45.46707807623845,84.8214038798914,1.6166668878153547,0.7115944116035274,0.014106115,-1.2189286319288437,-1.5012277566509746,11.007378,2.129053,-0.040197372,1.0,4.322033898305085,24.456370291698704,True,True,0.019555555555555555
1864194928092701440,309.9587218481955,34.62165037303549,75.6563733759573,-4.275872740865718,0.4857411103649967,0.046734482,-1.6853784257893991,-9.221137857846092,9.662766,4.5724,-1.3848085,1.0,4.1525423728813555,38.440023124886665,True,True,0.006244424620874219
2072550384378854784,299.2711331016823,38.72188733152324,74.22106610120298,5.109188017314065,0.7495020062708484,0.012873225,-12.374345749073344,-9.568707141918091,9.7371645,1.5781736,-1.3104105,1.0,2.2033898305084745,84.49059915662049,True,True,0.006244424620874219
2061580801712820736,302.4409328337255,37.92952094767073,74.86687029386741,2.580250800076629,0.8187793292314761,0.0119245695,-5.380025415349215,-6.792110932714391,10.660933,1.9197311,-0.38664246,1.0,4.576271186440678,27.971045709289367,True,True,0.015561015561015561
2058854665709379200,302.92777202902926,35.163048910451316,72.76224425311337,0.7415254538446082,0.7063137502089383,0.016320623,-6.9033705523758035,-11.65098459980144,9.55108,2.4591951,-1.4964952,1.0,2.796610169491525,64.90393103040756,True,True,0.006244424620874219
2058872945091079296,302.8848067963226,35.33368525656627,72.88568790801219,0.8644587036377086,0.81678926623107,0.019024257,-9.423276816122973,-17.203360778343416,9.813375,2.7218847,-1.2341995,1.0,1.694915254237288,111.60875143518163,False,False,0.006244424620874219
