version,subgroup,family,R_V,alpha,k_median,threshold_Msun,expected_true_above_threshold,expected_observed_above_threshold,effective_completeness,bright_recovery_plateau_response,bright_recovery_plateau_isotonic,spurious_deficit_fraction
repair_v6,CygOB2-C,PARSEC,3.5,2.3,2030.7743873232594,8.0,70.45613905759116,61.35957191101941,0.8708903543644908,0.7906851851851849,0.7960085978835978,0.1291096456355092
repair_v6,CygOB2-C,PARSEC,3.5,2.6,2917.0396507157875,8.0,49.33167434827727,44.94595819893526,0.9110973586994181,0.7906851851851849,0.7960085978835978,0.0889026413005819
repair_v6,CygOB2-A,MIST,3.0,2.0,1127.0621682256156,8.0,80.6103477879195,66.09645454205094,0.8199499984288164,0.7620925925925927,0.7958469498910674,0.18005000157118356
repair_v6,CygOB2-A,MIST,3.0,2.3,1600.1564839298449,8.0,55.51618557405075,46.82725423728187,0.8434883224248346,0.7620925925925927,0.7958469498910674,0.15651167757516538
repair_v6,CygOB2-A,MIST,3.0,2.6,2218.290181800863,8.0,37.51473478659379,32.71826068243076,0.8721442619427209,0.7620925925925927,0.7958469498910674,0.12785573805727912
repair_v6,CygOB2-B,MIST,3.0,2.0,1104.2035516214094,8.0,78.97544149227413,72.73522127327136,0.9209853075704145,0.7896481481481481,0.8030648148148146,0.07901469242958548
repair_v6,CygOB2-B,MIST,3.0,2.3,1575.1118604428875,8.0,54.64728182676255,52.8695089640428,0.9674682289165731,0.7896481481481481,0.8030648148148146,0.032531771083426864
repair_v6,CygOB2-B,MIST,3.0,2.6,2181.3385412648468,8.0,36.889825112462326,37.819550667505595,1.0252027639656438,0.7896481481481481,0.8030648148148146,-0.025202763965643804
repair_v6,CygOB2-C,MIST,3.0,2.0,1205.8462061416956,8.0,86.24518220574953,71.1797733325645,0.8253188353496145,0.7820555555555553,0.790997427983539,0.17468116465038552
repair_v6,CygOB2-C,MIST,3.0,2.3,1765.893781296429,8.0,61.266312295749756,52.049347036852595,0.8495590004764074,0.7820555555555553,0.790997427983539,0.15044099952359258
repair_v6,CygOB2-C,MIST,3.0,2.6,2519.6111466560765,8.0,42.61054063513567,37.4767542575758,0.8795183937814985,0.7820555555555553,0.790997427983539,0.12048160621850146
repair_v6,CygOB2-A,MIST,3.1,2.0,1154.446277735877,8.0,82.56892882605328,67.78327069255408,0.8209295149674531,0.7718148148148148,0.7972474747474748,0.17907048503254686
repair_v6,CygOB2-A,MIST,3.1,2.3,1642.8157690781372,8.0,56.99621631762694,48.09957875257636,0.8439082777798506,0.7718148148148148,0.7972474747474748,0.15609172222014944
repair_v6,CygOB2-A,MIST,3.1,2.6,2279.8558785141,8.0,38.555906407465294,33.61512757148267,0.8718541646053487,0.7718148148148148,0.7972474747474748,0.1281458353946513
repair_v6,CygOB2-B,MIST,3.1,2.0,1129.7352160785933,8.0,80.80153095700902,74.58380076139204,0.9230493516400677,0.7965555555555555,0.8063030303030303,0.07695064835993226
repair_v6,CygOB2-B,MIST,3.1,2.3,1611.6774792636425,8.0,55.9158975530805,54.18067547652673,0.9689672856470464,0.7965555555555555,0.8063030303030303,0.031032714352953628
repair_v6,CygOB2-B,MIST,3.1,2.6,2237.0349026936137,8.0,37.831737151166934,38.81380312420891,1.025958786114364,0.7965555555555555,0.8063030303030303,-0.025958786114363974
repair_v6,CygOB2-C,MIST,3.1,2.0,1210.2559860740394,8.0,86.56058086257256,71.284324417471,0.8235194785793452,0.7833888888888888,0.7929528198653197,0.17648052142065485
repair_v6,CygOB2-C,MIST,3.1,2.3,1762.4409024318318,8.0,61.146517347107654,51.84928899896004,0.8479516291112631,0.7833888888888888,0.7929528198653197,0.1520483708887369
repair_v6,CygOB2-C,MIST,3.1,2.6,2491.171622411992,8.0,42.12958407759116,36.99074926324601,0.8780231296639239,0.7833888888888888,0.7929528198653197,0.12197687033607607
repair_v6,CygOB2-A,MIST,3.5,2.0,1208.515259902707,8.0,86.43607970724096,70.88481514994949,0.8200836431966418,0.780222222222222,0.8076344189016602,0.17991635680335816
repair_v6,CygOB2-A,MIST,3.5,2.3,1728.8437028901453,8.0,59.98088862063214,50.569981932313254,0.8431015794407264,0.780222222222222,0.8076344189016602,0.1568984205592736
repair_v6,CygOB2-A,MIST,3.5,2.6,2410.356504015281,8.0,40.762874817336254,35.50960593439829,0.87112614342147,0.780222222222222,0.8076344189016602,0.12887385657853
repair_v6,CygOB2-B,MIST,3.5,2.0,1236.9322711063546,8.0,88.4685364969366,81.88800155742432,0.9256172284511551,0.795037037037037,0.7989684343434342,0.07438277154884487
repair_v6,CygOB2-B,MIST,3.5,2.3,1785.4574813489853,8.0,61.945059664235494,60.47008443770681,0.9761889772239533,0.795037037037037,0.7989684343434342,0.023811022776046742
repair_v6,CygOB2-B,MIST,3.5,2.6,2510.2629105929923,8.0,42.45244743366626,44.14109744912638,1.039777447886808,0.795037037037037,0.7989684343434342,-0.03977744788680804
repair_v6,CygOB2-C,MIST,3.5,2.0,1375.9925701836091,8.0,98.41448214939118,83.105908431785,0.8444479574218754,0.7862407407407407,0.7918167989417989,0.1555520425781246
repair_v6,CygOB2-C,MIST,3.5,2.3,2044.563652726452,8.0,70.93454690378718,62.273444662359374,0.877900083676077,0.7862407407407407,0.7918167989417989,0.12209991632392303
repair_v6,CygOB2-C,MIST,3.5,2.6,2935.761077811838,8.0,49.64828277854346,45.688029717958926,0.9202338361177712,0.7862407407407407,0.7918167989417989,0.07976616388222879
