version,subgroup,family,R_V,alpha,chi2_p,max_abs_residual,incumbent_trend_p,replacement_trend_p,replacement_T,gate_incumbent,gate_replacement,pi,pi_incumbent,replicate_trend_p_lo68,replicate_trend_p_hi68,replicate_max_abs_lo68,replicate_max_abs_hi68,indeterminate,indeterminate_incumbent
repair_v4,CygOB2-A,MIST,3.1,2.3,0.3647702123817311,1.7425394400649494,0.3287230320699708,0.1612,-1.3773070295730399,True,True,0.81,0.9075,0.044138000000000004,0.220966,1.1098645894406354,1.7505606614214377,True,True
repair_v4,CygOB2-A,MIST,3.1,2.6,0.2748011582288694,1.6457835318533554,0.7040000000000001,0.9781,-0.02766983866814539,True,True,0.99,0.9775,0.31092400000000003,0.8774879999999999,0.9178095320818707,1.6228142462890482,False,False
repair_v4,CygOB2-A,MIST,3.5,2.0,0.605656271204075,1.5496560700670345,0.3965014577259473,0.2973,-1.0350399937249255,True,True,0.9975,0.875,0.164634,0.403216,1.1242203073214296,1.5964351403438286,False,True
repair_v4,CygOB2-A,MIST,3.5,2.3,0.5143357912124783,1.3758351298614018,0.6227871720116619,0.6562,0.4354972139150008,True,True,1.0,0.9975,0.536428,0.92942,0.806542244701887,1.3507562583995836,False,False
repair_v4,CygOB2-A,MIST,3.5,2.6,0.045222266468727804,2.387779339620845,0.07239650145772594,0.06125,1.840964219352473,True,True,0.79,0.82,0.042202,0.473674,1.3193778133613885,2.049668265615483,True,True
repair_v4,CygOB2-A,PARSEC,3.0,2.0,0.021896936275244885,2.7149861258298653,0.3287230320699708,0.00785,-2.6347590709040536,True,False,0.0025,0.7575,0.00255,0.01385,2.1313840491589247,2.75696339035267,False,True
repair_v4,CygOB2-A,PARSEC,3.0,2.3,0.12345646441423062,1.9783663597445589,0.3965014577259473,0.24515,-1.1317534305469117,True,True,0.9175,0.99,0.074584,0.3435099999999999,1.4137338247423492,1.9881480404087408,True,False
repair_v4,CygOB2-A,PARSEC,3.0,2.6,0.05810573019985702,2.258655453084554,0.7871720116618076,0.75755,0.3018332358377919,True,True,0.9675,0.9775,0.376596,0.9108479999999999,1.2754695788513528,2.0173523390744976,False,False
repair_v4,CygOB2-A,PARSEC,3.1,2.0,0.1881311766135341,1.8214527510755396,0.208,0.05105,-1.9290100531738705,True,True,0.46,0.9675,0.019191999999999997,0.08889599999999999,1.4213891398895244,1.9427442381100688,True,False
repair_v4,CygOB2-A,PARSEC,3.1,2.3,0.38025323709531256,1.4531158583839419,0.8717434402332361,0.69515,-0.3855132770558922,True,True,0.9975,0.9975,0.31128,0.793336,1.0020356492139941,1.554638538735859,False,False
repair_v4,CygOB2-A,PARSEC,3.1,2.6,0.07680465711210324,2.4949945129060978,0.4684781341107872,0.27065,1.0854115046986703,True,True,0.9875,0.9875,0.255788,0.801686,1.1331461625930457,1.9705472696465645,False,False
