family,R_V,alpha,chi2,max_abs_residual,bin2_residual,res_bin0,res_bin1,res_bin2,res_bin3,res_bin4,res_bin5
MIST,3.1,3.8,15.015826287678655,2.4923231773835695,0.6736491038184795,-2.4923231773835695,1.9845583626486496,0.6736491038184795,-0.9554557888157785,0.06534222222073141,1.869414637509525
MIST,3.1,3.9,16.20477869819864,2.629247491214253,0.6634984255765708,-2.629247491214253,1.9258567993564286,0.6634984255765708,-0.9198141541690935,0.1704935992382005,2.065806285734754
MIST,3.1,4.0,17.531031078202876,2.764062711573015,0.656569226720182,-2.764062711573015,1.870199170615364,0.656569226720182,-0.8819326979727583,0.27543311345658444,2.260219377340677
MIST,3.5,1.8,37.30113689736763,4.708476802184417,4.708476802184417,1.9017926950007404,0.36538103283897766,4.708476802184417,-0.17040808203576482,-2.2302165170634862,-2.5255018747441627
MIST,3.5,1.9,34.40769345027121,4.586003701774089,4.586003701774089,1.7247328312058137,0.2806752268658821,4.586003701774089,-0.21367918710726624,-2.1774334033373544,-2.3528507293489755
MIST,3.5,2.0,31.76114027612875,4.4706316891674485,4.4706316891674485,1.5502707486041376,0.19820426998294008,4.4706316891674485,-0.25277631329276207,-2.1235204410632065,-2.18145211296244
MIST,3.5,2.1,29.349776613218424,4.362199873829617,4.362199873829617,1.378201360304016,0.11796432754601266,4.362199873829617,-0.28775640470119535,-2.0685487738366803,-2.011451347578231
MIST,3.5,2.2,27.16251323582724,4.260547742407239,4.260547742407239,1.2083129002957733,0.03995049774958168,4.260547742407239,-0.31867633473821766,-2.0125823762408164,-1.8429833519939582
MIST,3.5,2.3,25.188870043051818,4.165515913191598,4.165515913191598,1.0403867956079655,-0.03584276796492205,4.165515913191598,-0.3455919868321809,-1.955677210529657,-1.6761714286912646
MIST,3.5,2.4,23.418977096998024,4.0769469226004835,4.0769469226004835,0.8741975506846583,-0.109421221978307,4.0769469226004835,-0.36855730412684096,-1.8978804075191813,-1.5111260695864415
MIST,3.5,2.5,21.84357925544871,3.9946860414461525,3.9946860414461525,0.7095126506140557,-0.18079035671078894,3.9946860414461525,-0.38762331104713993,-1.839229471467016,-1.3479437863957797
MIST,3.5,2.6,20.454044520966793,3.9185821188738172,3.9185821188738172,0.5460924912178275,-0.2499549215568549,3.9185821188738172,-0.4028371090935701,-1.7797515076258354,-1.1867059709443162
MIST,3.5,2.7,19.242376209113125,3.8484884520306135,3.8484884520306135,0.38369034554944903,-0.31691842199955483,3.8484884520306135,-0.414240848645899,-1.7194624701340921,-1.027477790194553
MIST,3.5,2.8,18.2012290235747,3.784263679732013,3.784263679732013,0.22205237802721015,-0.38168260226799555,3.784263679732013,-0.4218706779866158,-1.658366426992554,-0.8703071200750226
MIST,3.5,2.9,17.32392911599391,3.7257726986003963,3.7257726986003963,0.060917719215262435,-0.4442469128320576,3.7257726986003963,-0.42575567021712374,-1.5964548380926211,-0.7152235213492749
MIST,3.5,3.0,16.604498203510648,3.6728876003294,3.6728876003294,-0.09998138387659063,-0.5046079640071042,3.6728876003294,-0.42591672826539206,-1.5337058416388387,-0.5622372597956511
MIST,3.5,3.1,16.037681817594287,3.6254886288414956,3.6254886288414956,-0.26091932522621886,-0.5627589669898974,3.6254886288414956,-0.4223654678022176,-1.470083543867303,-0.41133837189110556
MIST,3.5,3.2,15.618981763590396,3.5834651561229043,3.5834651561229043,-0.42217678638500417,-0.6186891637873252,3.5834651561229043,-0.41510307762510823,-1.4055373067260695,-0.26249577604336416
MIST,3.5,3.3,15.344692881225763,3.546716675400972,3.546716675400972,-0.5840402519246765,-0.6723832477565849,3.546716675400972,-0.4041191569643683,-1.3400010281739585,-0.11565642824179129
MIST,3.5,3.4,15.211944211622312,3.515153810037878,3.515153810037878,-0.7468013719562873,-0.7238207768731313,3.515153810037878,-0.3893905292463265,-1.2733924099916007,0.029255480145328187
MIST,3.5,3.5,15.218744695528358,3.488699336012264,3.488699336012264,-0.9107561487555879,-0.7729755824075593,3.488699336012264,-0.37088003214449944,-1.2056122085009107,0.17233928574641086
MIST,3.5,3.6,15.364033549784864,3.4672892151068258,3.4672892151068258,-1.076203923791031,-0.8198151764510141,3.4672892151068258,-0.3485352842914863,-1.1365434643767944,0.3137185819367159
