family,R_V,alpha,sf_duration_Myr,explodability,yield_arm,in_headline_set,N_SN_mean,mean_progenitor_Msun,rate_now_per_Myr,M_al26_Msun,M_fe60_Msun,M_al26_steady_state_Msun,M_fe60_steady_state_Msun,saturation_al26,saturation_fe60,F_1809_ph_cm2_s,F_1173_ph_cm2_s,F_1332_ph_cm2_s,F_fe60_combined_ph_cm2_s
PARSEC,3.5,2.0,2.0,all_explode,LC06_NL,True,16.3028,80.39,18.49,0.0025018689208077156,0.008106988136637227,0.005147437003183416,0.04155404841455463,0.4860416784625908,0.19509502553781716,1.0986677319275986e-05,4.291468892904307e-06,4.2949055046303575e-06,8.586374397534665e-06
PARSEC,3.5,2.0,2.0,all_explode,LC06_Langer,True,16.3028,80.39,18.49,0.0006935671398270187,0.00027714021168629864,0.001369899770175817,0.0013832228582637898,0.5062904271733721,0.2003583226163301,3.0457224601809056e-06,1.467053580663068e-07,1.4682283983452806e-07,2.935281979008348e-07
PARSEC,3.5,2.0,2.0,all_explode,LC18_REC,True,16.3028,80.39,18.49,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
PARSEC,3.5,2.3,0.0,all_explode,LC06_NL,True,5.6293,86.11,8.22,0.001092531324957938,0.0034341589035301917,0.0024927287628271192,0.021426581500296794,0.4382872863066127,0.16027563255868058,4.797729021166592e-06,1.8178867243172413e-06,1.8193424894618396e-06,3.637229213779081e-06
PARSEC,3.5,2.3,0.0,all_explode,LC06_Langer,True,5.6293,86.11,8.22,0.0002870818386472039,9.633955920812467e-05,0.0006318033454898526,0.0005929450738593091,0.4543848029557715,0.1624763632507783,1.2606877599418782e-06,5.0997758295631817e-08,5.1038597341314e-08,1.0203635563694582e-07
PARSEC,3.5,2.3,0.0,all_explode,LC18_REC,True,5.6293,86.11,8.22,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
PARSEC,3.5,2.3,1.0,all_explode,LC06_NL,True,5.7271,84.12,7.833,0.0010405575601719929,0.003278852014561743,0.0023077707292066645,0.0194279029353532,0.4508929535342977,0.16877024892867745,4.5694920507873525e-06,1.7356743574519427e-06,1.7370642868673197e-06,3.4727386443192626e-06
PARSEC,3.5,2.3,1.0,all_explode,LC06_Langer,True,5.7271,84.12,7.833,0.00027677958957010536,9.734389304412057e-05,0.0005925017561690169,0.0005675944802605889,0.46713716320386955,0.17150253645776983,1.215446586301035e-06,5.15294067133456e-08,5.157067150350644e-08,1.0310007821685204e-07
PARSEC,3.5,2.3,1.0,all_explode,LC18_REC,True,5.7271,84.12,7.833,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
PARSEC,3.5,2.3,2.0,all_explode,LC06_NL,True,6.1551,79.09,7.3375,0.0009407970782904843,0.0029778625188884096,0.0020023627884269857,0.015970285568637686,0.46984346878996625,0.18646269699374138,4.131405061284417e-06,1.5763442787590118e-06,1.5776066165197799e-06,3.1539508952787916e-06
PARSEC,3.5,2.3,2.0,all_explode,LC06_Langer,True,6.1551,79.09,7.3375,0.000265989219546771,0.00010539521184438977,0.0005435345037559142,0.000549786346137715,0.48936952062608924,0.19170212680761903,1.1680618841625675e-06,5.5791406804607975e-08,5.5836084607854915e-08,1.1162749141246288e-07
PARSEC,3.5,2.3,2.0,all_explode,LC18_REC,True,6.1551,79.09,7.3375,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
PARSEC,3.5,2.6,0.0,all_explode,LC06_NL,False,1.9258,86.29,3.0745,0.0003853153988521275,0.0012005198939474247,0.0009350807193658672,0.008111120572713782,0.4120664568011116,0.14800912934102275,1.692069443817919e-06,6.355003477685112e-07,6.360092569559134e-07,1.2715096047244246e-06
PARSEC,3.5,2.6,0.0,all_explode,LC06_Langer,False,1.9258,86.29,3.0745,0.00010341883382311875,3.3471271121242575e-05,0.0002412549800012794,0.00022332423583683683,0.42867025510756424,0.1498774684969573,4.541522325572537e-07,1.7718160727734946e-08,1.7732349445034434e-08,3.5450510172769377e-08
PARSEC,3.5,2.6,0.0,all_explode,LC18_REC,False,1.9258,86.29,3.0745,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
PARSEC,3.5,2.6,1.0,all_explode,LC06_NL,False,1.9902,83.95,2.972,0.0003707046971067958,0.0011479928297847945,0.0008737269791895271,0.007361950203148532,0.42427978754949636,0.15593596779475977,1.6279081825507552e-06,6.076949213770745e-07,6.081815639567558e-07,1.2158764853338303e-06
PARSEC,3.5,2.6,1.0,all_explode,LC06_Langer,False,1.9902,83.95,2.972,9.89941421028885e-05,3.405655003253151e-05,0.00022591752285773585,0.00021520906144496834,0.43818709080493423,0.15824868062649025,4.3472169414529423e-07,1.802798062621468e-08,1.8042417447536976e-08,3.6070398073751654e-08
PARSEC,3.5,2.6,1.0,all_explode,LC18_REC,False,1.9902,83.95,2.972,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
PARSEC,3.5,2.6,2.0,all_explode,LC06_NL,False,2.2068,78.15,2.7943,0.00034009414137603776,0.0010502475700296559,0.0007515294642465151,0.005939676852631325,0.4525360049815436,0.17681897451447845,1.4934853534486707e-06,5.55953049476171e-07,5.563982571233992e-07,1.11235130659957e-06
PARSEC,3.5,2.6,2.0,all_explode,LC06_Langer,False,2.2068,78.15,2.7943,9.735918868340358e-05,3.797022326740942e-05,0.00020685597882342006,0.00020888922472100182,0.4706617098387714,0.1817720531928992,4.2754197921197604e-07,2.0099700315622964e-08,2.0115796171731573e-08,4.0215496487354534e-08
PARSEC,3.5,2.6,2.0,all_explode,LC18_REC,False,2.2068,78.15,2.7943,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
MIST,3.0,2.0,0.0,all_explode,LC06_NL,True,27.5065,83.57,20.9074,0.0036613784059140505,0.01399410130657928,0.006115883004676616,0.051409776580332175,0.5986671757969069,0.27220700492079164,1.6078533433540508e-05,7.407837464314754e-06,7.41376966648838e-06,1.4821607130803134e-05
MIST,3.0,2.0,0.0,all_explode,LC06_Langer,True,27.5065,83.57,20.9074,0.0009978222858839513,0.0004211767113527383,0.0015942742359475236,0.001498397001582959,0.6258786997777183,0.28108485995887106,4.381824877320135e-06,2.2295169608275129e-07,2.2313023597951427e-07,4.4608193206226555e-07
MIST,3.0,2.0,0.0,all_explode,LC18_REC,True,27.5065,83.57,20.9074,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
MIST,3.0,2.0,1.0,all_explode,LC06_NL,True,27.3721,82.5,21.0647,0.0034841951994972237,0.013423426989675927,0.006061669173673428,0.05045476791223905,0.5747913816592813,0.26604873127202994,1.530045321554576e-05,7.105748570425486e-06,7.111438859570972e-06,1.4217187429996458e-05
MIST,3.0,2.0,1.0,all_explode,LC06_Langer,True,27.3721,82.5,21.0647,0.0009706891569508173,0.00042490969805146804,0.0016015695782515323,0.0015368107739053719,0.6060861608089105,0.27648797448997553,4.26267277875439e-06,2.2492776858035695e-07,2.2510789091755842e-07,4.500356594979154e-07
MIST,3.0,2.0,1.0,all_explode,LC18_REC,True,27.3721,82.5,21.0647,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
MIST,3.0,2.0,2.0,all_explode,LC06_NL,True,28.1829,79.43,18.5036,0.003273853006538416,0.012541851942530395,0.005079080683322652,0.04109721693005986,0.6445759007704353,0.3051752132966666,1.4376759019799794e-05,6.639083043373786e-06,6.6443996263915024e-06,1.3283482669765289e-05
MIST,3.0,2.0,2.0,all_explode,LC06_Langer,True,28.1829,79.43,18.5036,0.0009839567344837024,0.0004542070647995919,0.0014102112721551157,0.0014096836343109093,0.6977371078448396,0.3222049641099936,4.320935860385071e-06,2.404364551510684e-07,2.4062899685689507e-07,4.810654520079635e-07
MIST,3.0,2.0,2.0,all_explode,LC18_REC,True,28.1829,79.43,18.5036,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
MIST,3.0,2.3,0.0,all_explode,LC06_NL,True,10.3028,82.8,9.088,0.0013998032740963166,0.005191268127875961,0.002628952569256728,0.021960008765328182,0.5324566485016794,0.23639645062766348,6.1470793913524355e-06,2.748020018041649e-06,2.7502206346727136e-06,5.498240652714362e-06
MIST,3.0,2.3,0.0,all_explode,LC06_Langer,True,10.3028,82.8,9.088,0.0003821008957772434,0.00015854602299231776,0.0006921404620942268,0.0006498521641668451,0.5520568680829772,0.2439724474805506,1.677953313379651e-06,8.392701633426226e-08,8.399422515615156e-08,1.679212414904138e-07
MIST,3.0,2.3,0.0,all_explode,LC18_REC,True,10.3028,82.8,9.088,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
MIST,3.0,2.3,1.0,all_explode,LC06_NL,True,10.3104,81.36,8.7913,0.0013241788787684758,0.004951846743761256,0.002487414868916945,0.020500527910221288,0.5323514365518935,0.2415472794382203,5.814983324279462e-06,2.6212812829026405e-06,2.6233804070531135e-06,5.244661689955754e-06
MIST,3.0,2.3,1.0,all_explode,LC06_Langer,True,10.3104,81.36,8.7913,0.00037320639942955915,0.00016117761949207795,0.0006677059812051727,0.0006411526571517644,0.5589382302011764,0.2513872752365843,1.6388941282733678e-06,8.53200632127151e-08,8.538838758766022e-08,1.7070845080037532e-07
MIST,3.0,2.3,1.0,all_explode,LC18_REC,True,10.3104,81.36,8.7913,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
MIST,3.0,2.3,2.0,all_explode,LC06_NL,True,10.798,77.97,7.7306,0.0012567886974765678,0.0046602041043524774,0.002073987540315287,0.016552657446838637,0.6059769757756168,0.28153812276484474,5.519046886449349e-06,2.466899002606566e-06,2.468874497303348e-06,4.935773499909913e-06
MIST,3.0,2.3,2.0,all_explode,LC06_Langer,True,10.798,77.97,7.7306,0.00038713521492685457,0.00017685764713966604,0.0005897684571450839,0.0005931231295596332,0.6564189899216986,0.2981803243299157,1.7000609624091503e-06,9.362035300657874e-08,9.369532426023768e-08,1.8731567726681644e-07
MIST,3.0,2.3,2.0,all_explode,LC18_REC,True,10.798,77.97,7.7306,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
MIST,3.0,2.6,0.0,all_explode,LC06_NL,False,3.7194,82.17,3.9381,0.0005175806921640658,0.0018588169751043257,0.0011286699488317637,0.009362720428083931,0.45857577115417186,0.19853385449048705,2.272897674294724e-06,9.839727272095865e-07,9.84760693357502e-07,1.9687334205670886e-06
MIST,3.0,2.6,0.0,all_explode,LC06_Langer,False,3.7194,82.17,3.9381,0.00014001816517433469,5.743343036162571e-05,0.00029827028177930947,0.0002806846751677498,0.46943384483048933,0.20461904565078554,6.148740994435705e-07,3.040263235317126e-08,3.042697880550613e-08,6.08296111586774e-08
MIST,3.0,2.6,0.0,all_explode,LC18_REC,False,3.7194,82.17,3.9381,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
MIST,3.0,2.6,1.0,all_explode,LC06_NL,False,3.7592,80.19,3.6289,0.00048695499054408296,0.0017632818552232453,0.0010087136475839358,0.00821747711866072,0.48274849032769046,0.214577032556511,2.138408333715462e-06,9.334008023171932e-07,9.341482704271569e-07,1.8675490727443501e-06
MIST,3.0,2.6,1.0,all_explode,LC06_Langer,False,3.7592,80.19,3.6289,0.00013861150215729737,5.9148398843676825e-05,0.00027470254062223994,0.00026442952285698514,0.5045876235557297,0.2236830373727476,6.086968962589373e-07,3.1310458264470355e-08,3.1335531704521986e-08,6.264598996899234e-08
MIST,3.0,2.6,1.0,all_explode,LC18_REC,False,3.7592,80.19,3.6289,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
