subgroup,family,R_V,alpha,turnoff_prior_mean_Msun,observed_living,predicted_observed_ctl,closure_ratio_ctl,predicted_observed_trt,closure_ratio_trt,ratio_reduction,ratio_reduction_fraction
CygOB2-A,PARSEC,3.5,2.3,60.82399147486474,65.62187734375,70.3576879340892,0.9326895080069191,70.46765332812056,0.9312340378101278,0.0014554701967912642,
CygOB2-A,PARSEC,3.5,2.6,60.82399147486474,65.62187734375,46.311770621042605,1.4169589385972103,46.414374292905876,1.4138266074563859,0.0031323311408244514,0.007512325197686524
CygOB2-B,PARSEC,3.5,2.0,110.31534915821896,91.996693359375,128.615158316315,0.7152865538066605,128.9180164282052,0.7136061809530573,0.0016803728536032292,
CygOB2-B,PARSEC,3.5,2.3,110.31534915821896,91.996693359375,83.60501485316081,1.1003729085025924,83.83513541289042,1.0973524752633688,0.00302043323922363,0.03009211633182493
CygOB2-B,PARSEC,3.5,2.6,110.31534915821896,91.996693359375,54.84575725494663,1.6773711944888436,55.015521081687616,1.6721952560037985,0.005175938485045162,0.0076412143403160465
CygOB2-C,PARSEC,3.5,2.0,119.99999999999999,124.055012109375,125.47878118038459,0.9886533080922836,125.32208514190332,0.9898894673584979,-0.0012361592662143428,
CygOB2-C,PARSEC,3.5,2.3,119.99999999999999,124.055012109375,83.14556906161043,1.4920219262369938,83.12963771642707,1.4923078641645608,-0.00028593792756703706,-0.0005811487503288795
CygOB2-C,PARSEC,3.5,2.6,119.99999999999999,124.055012109375,55.22089304686465,2.2465231050155685,55.26364466265763,2.244785208551411,0.0017378964641574512,0.001394195147418263
CygOB2-A,MIST,3.0,2.0,57.565220361889864,64.4287296875,94.22583783180673,0.6837692417498625,94.75475830126082,0.6799524461099564,0.003816795639906112,
CygOB2-A,MIST,3.0,2.3,57.565220361889864,64.4287296875,61.4575322585202,1.0483455374758865,61.82184826692067,1.0421676396558692,0.00617789782001732,0.1277863096071419
CygOB2-A,MIST,3.0,2.6,57.565220361889864,64.4287296875,40.1488747772964,1.604745588634367,40.396029467967544,1.5949272870639288,0.00981830157043806,0.01623542487115895
CygOB2-B,MIST,3.0,2.0,61.286176831965314,74.82004062499999,104.4903131972165,0.7160476252356865,104.88823415547475,0.7133311112292635,0.002716514006423032,
CygOB2-B,MIST,3.0,2.3,61.286176831965314,74.82004062499999,68.97940303183083,1.0846721968654032,69.2275014467121,1.0807849346201344,0.0038872622452688077,0.04590954751591112
CygOB2-B,MIST,3.0,2.6,61.286176831965314,74.82004062499999,45.55838291506596,1.6422892086509358,45.71235842990407,1.6367573932928885,0.005531815358047254,0.00861265499021271
CygOB2-C,MIST,3.0,2.0,72.06599543130731,99.988748046875,103.65581931130482,0.9646226204298606,103.68092949721533,0.9643890012537022,0.0002336191761583839,
CygOB2-C,MIST,3.0,2.3,72.06599543130731,99.988748046875,69.12615181030361,1.446467732230556,69.21443078540266,1.4446228468870492,0.0018448853435066859,0.004132180693752773
CygOB2-C,MIST,3.0,2.6,72.06599543130731,99.988748046875,46.204728127650036,2.1640371472511553,46.303706938728794,2.1594113011121276,0.004625846139027612,0.003973967798150972
