subgroup,family,R_V,alpha,k_median_floor8,turnoff_prior_mean_Msun_floor8,predicted_true_living_floor8,predicted_observed_living_floor8,effective_completeness_floor8,observed_living_floor8,closure_ratio_floor8,closure_ratio_lo68_floor8,closure_ratio_hi68_floor8,shortfall_floor8,k_median_fixed,turnoff_prior_mean_Msun_fixed,predicted_true_living_fixed,predicted_observed_living_fixed,effective_completeness_fixed,observed_living_fixed,closure_ratio_fixed,closure_ratio_lo68_fixed,closure_ratio_hi68_fixed,shortfall_fixed,ratio_change,ratio_change_fraction
CygOB2-C,PARSEC,3.1,2.0,1280.4396191467922,120.0,149.6938653968687,100.51136267387984,0.671446103735807,107.43566875,1.0688907790314897,1.0000807495590671,1.141934681716308,-6.924306076120175,1280.4396191467922,120.0,149.6938653968687,116.6350009919345,0.7791568524382181,107.43566875,0.9211271731152928,0.8618294514272616,0.9840734768099876,9.1993322419345,-0.14776360591619686,-0.13824013530183493
CygOB2-C,PARSEC,3.1,2.3,1884.298652040327,120.0,94.594237476903,62.98381818391914,0.6658314487634392,107.43566875,1.705766208651831,1.5933089634742668,1.8307511743289973,-44.451850566080864,1884.298652040327,120.0,94.594237476903,76.4630781474819,0.8083270206195365,107.43566875,1.4050659658610425,1.3124331964861753,1.5080180120597375,-30.97259060251811,-0.30070024279078855,-0.1762845583794569
CygOB2-C,PARSEC,3.1,2.6,2685.3020476663287,120.0,59.7637727239497,39.3745981070728,0.658837223830313,107.43566875,2.7285527704396175,2.534036790994851,2.953624012843909,-68.0610706429272,2685.3020476663287,120.0,59.7637727239497,50.31159477933067,0.8418410097990489,107.43566875,2.13540574933509,1.9831746672230235,2.3115498321056354,-57.124073970669336,-0.5931470211045275,-0.21738521150498447
CygOB2-A,PARSEC,3.5,2.0,1261.8373920046824,60.82399147486474,136.53855068429814,91.8970318241096,0.6730482443496283,65.62187734375,0.7140804881418793,0.6750469672913106,0.7557733813136406,26.275154480359603,1261.8373920046824,60.82399147486474,136.53855068429814,107.460888324684,0.7870369780997092,65.62187734375,0.6106582438205708,0.5772780553284216,0.646312640414317,41.83901098093399,-0.10342224432130853,-0.14483275490473807
CygOB2-A,PARSEC,3.5,2.3,1813.2206833243167,60.82399147486474,86.73783708197716,57.83830390028518,0.6668174564420067,65.62187734375,1.134574718112134,1.070899552162626,1.2044719756377975,-7.783573443464817,1813.2206833243167,60.82399147486474,86.73783708197716,70.5130232873527,0.8129442197262751,65.62187734375,0.9306348570012316,0.8784053052476438,0.9879680790656292,4.8911459436026945,-0.20393986111090234,-0.1797500489436662
CygOB2-A,PARSEC,3.5,2.6,2545.7910216961063,60.82399147486474,55.016158002858035,36.300324951904486,0.6598120673933414,65.62187734375,1.8077490333955584,1.6977521883302922,1.9295246414173577,-29.321552391845515,2545.7910216961063,60.82399147486474,55.016158002858035,46.40674207041885,0.8435111384551437,65.62187734375,1.4140591305499013,1.3280172960790722,1.5093145599377105,-19.215135273331157,-0.3936899028456571,-0.21777906975625677
CygOB2-B,PARSEC,3.5,2.0,1280.9696203155763,110.31534915821896,148.49930540043042,105.0585580554601,0.7074683465499603,91.996693359375,0.8756706265738982,0.8216860344871121,0.9362320462639674,13.061864696085095,1280.9696203155763,110.31534915821896,148.49930540043042,128.30306975353767,0.8639977770102472,91.996693359375,0.7170264401007319,0.6728221711557674,0.7666160207604323,36.30637639416267,-0.15864418647316625,-0.18116878842204515
CygOB2-B,PARSEC,3.5,2.3,1847.3585533336511,110.31534915821896,92.27774029973904,64.05773372073256,0.6941840308687501,91.996693359375,1.4361527955460571,1.3425217673691248,1.539865009194442,-27.938959638642444,1847.3585533336511,110.31534915821896,92.27774029973904,83.35412438719648,0.9032961157961102,91.996693359375,1.103684959031326,1.03172941375926,1.1833879061178465,-8.642568972178523,-0.3324678365147311,-0.2314989307167135
CygOB2-B,PARSEC,3.5,2.6,2584.5651483403944,110.31534915821896,57.35669577122374,39.07846737535915,0.6813235464474767,91.996693359375,2.354153055075628,2.183895857726295,2.5443894690356035,-52.91822598401585,2584.5651483403944,110.31534915821896,57.35669577122374,54.662751622508765,0.9530317408893252,91.996693359375,1.68298687184077,1.5612697951377323,1.8189871147096095,-37.33394173686624,-0.6711661832348583,-0.28509878819807527
CygOB2-C,PARSEC,3.5,2.0,1366.5486377793782,120.0,159.76071404158017,107.10723403568338,0.6704228550694076,124.055012109375,1.158231871322953,1.082452375281583,1.2377706963927562,-16.947778073691623,1366.5486377793782,120.0,159.76071404158017,125.09797386784248,0.7830333922724195,124.055012109375,0.9916628405223468,0.9267814362385036,1.0597629327002958,1.0429617584674844,-0.16656903080060614,-0.1438131991743139
