source_id,subgroup,mass_PARSEC_rv3.1,J,H,Ks,jks_obs,jks_intrinsic,av_wp3,av_nir,delta_av,av_nir_fixed,delta_av_fixed
2067768509529318144,CygOB2-C,5.94412395082219,12.387,11.806,11.5,0.8870001,-0.16016185846316489,6.723544246510364,6.138377913439337,0.5851663330710268,5.9209833,0.8025609319962035
2067768612608543104,CygOB2-C,8.755207315605642,11.487,10.842,10.495,0.9920006,-0.19706248778726784,6.726614015520503,6.970190737965825,-0.24357672244532225,6.5364876,0.19012643617479963
2067769089346386688,CygOB2-C,8.102510106176178,11.777,11.04,10.721,1.0560007,-0.1892301212741142,6.763241361251243,7.299441585457353,-0.5362002242061097,6.911651,-0.14840977323972382
2067769261148841728,CygOB2-B,2.731837706208914,12.945,11.926,11.329,1.6159992,-0.024549740958306174,6.94161978979319,9.61676423798571,-2.675144448192519,10.194317,-3.2526970742204817
2067769609040981632,CygOB2-C,4.363433906521761,13.065,12.442,12.133,0.9319992,-0.13126867726859237,6.432452035389672,6.232789628683111,0.19966240670656088,6.1847644,0.24768765016628347
2067769609040987648,CygOB2-C,21.641,9.382,8.858,8.564,0.81799984,-0.2447844918718942,6.554909470217478,6.229955085371248,0.3249543848462295,5.51651,1.0383994604518527
2067769677760467712,CygOB2-C,3.990541230357348,13.061,12.199,11.865,1.1960001,-0.12271623664015208,6.743066143860864,7.730207623335664,-0.9871414794747997,7.732316,-0.9892498732900146
2067769845260237568,CygOB2-B,19.17524495946848,9.701,9.142,8.822,0.87900066,-0.2425081027370098,6.647062414376804,6.574192933604969,0.07286948077183464,5.874091,0.7729712660003392
2067769849559160192,CygOB2-C,3.1147035425890186,14.086,13.384,13.079,1.007,-0.07515751477798037,6.5543897289106745,6.343518926125497,0.21087080278517778,6.6244125,-0.07002280771041924
2067770876052953600,CygOB2-C,3.246203220298908,13.794,13.128,12.84,0.9539995,-0.10135679573708767,6.504326337991672,6.186412657973429,0.3179136800182425,6.3137283,0.19059800547214056
2067770949071140864,CygOB2-B,3.686721926793913,13.326,12.731,12.409,0.9169998,-0.11473443526108264,6.451104538833625,6.047942051386464,0.4031624874471609,6.0968394,0.35426511088562673
2067771017790240000,CygOB2-C,5.957266801447323,12.271,11.619,11.248,1.0229998,-0.16035900141051768,6.643161849135172,6.93675258057798,-0.2935907314428077,6.718202,-0.07504026497005256
2067771327027918976,CygOB2-C,3.692825829210413,13.098,12.221,11.802,1.2959995,-0.11432064160044765,6.185600747177343,8.267181820939259,-2.0815810737619156,8.318504,-2.1329035863187507
2067771357089245312,CygOB2-C,3.7192462618713242,13.328,12.685,12.401,0.92700005,-0.11498115225976888,6.335128920055883,6.108008812531216,0.22712010752466671,6.15546,0.1796690392270257
2067771464466868480,CygOB2-C,7.248070905019215,11.988,11.381,11.104,0.8839998,-0.17822492176524976,6.408618782285889,6.22667484159154,0.1819439406943495,5.903396,0.5052226526777348
2067771464466872832,CygOB2-B,4.674843736862676,12.84,12.114,11.791,1.0489998,-0.13812265587798092,6.498031380620818,6.958814950320488,-0.4607835696996707,6.870612,-0.3725807638493972
2067771533186357888,CygOB2-C,27.601,6.035,5.487,5.157,0.8779998,-0.2382653368920832,6.571843521537584,6.543455102259782,0.028388419277802335,5.868224,0.7036193775556505
2067771567546093312,CygOB2-C,5.877865680403156,12.317,11.516,10.964,1.3530006,-0.15916798345921954,6.604308562505584,8.864209163120151,-2.259900600614567,8.65264,-2.0483317802068184
2067771601905846400,CygOB2-C,4.079709416578503,13.14,12.459,12.09,1.0500002,-0.1249927373145376,6.538229595407655,6.887712727172169,-0.3494831317645142,6.8764763,-0.33824669243414185
2067771739344792960,CygOB2-C,5.415256320819186,12.578,11.994,11.679,0.89900017,-0.152228850752997,6.514016411775461,6.162218782543415,0.3517976292320455,5.991327,0.5226896028460173
2067771739344800000,CygOB2-C,3.916957965009727,13.236,12.599,12.243,0.99300003,-0.1205087365748721,6.593207482965505,6.527297589486432,0.06590989347907339,6.5423465,0.050861005456960484
2067772048582419200,CygOB2-C,2.79724531896314,13.201,12.258,11.817,1.3839998,0.015846703546568815,6.884200206401396,8.020002026497194,-1.1358018200957973,8.834355,-1.9501551479076857
2067772048582426240,CygOB2-C,14.278,10.508,9.924,9.598,0.9100008,-0.18917000000000003,6.892072261487298,6.443249601976073,0.448822659511225,6.0558114,0.8362608563054135
