subgroup,family,R_V,alpha,calibration_lower_Msun,calibration_upper_Msun,window_status,absolute_95_edge_Msun,relative_95_plateau_edge_Msun_diagnostic,bright_plateau_completeness,response_true_mass_lower_Msun,response_true_mass_upper_Msun,raw_calibration_sources,membership_weighted_calibration_sources,observed_count_method,k_mle,k_median,k_lo68,k_hi68,k_lo95,k_hi95,poisson_chi_square,poisson_chi_square_df,poisson_chi_square_p,residual_spearman_rho,residual_trend_p,max_abs_pearson_residual,residual_gate_pass
CygOB2-B,PARSEC,3.5,2.6,2.0,8.0,corrected_no_absolute95_edge,,5.25,0.8295454545454546,0.5,18.0,318,254.7311078125,membership_weighted_mass_posterior_soft_bins,3495.2060230110365,2920.167764664284,2693.413384606039,3160.0214140501066,2477.8308984257465,3388.309532742257,31.004987041859962,5,9.346034785571587e-06,-0.14285714285714288,0.7871720116618076,4.3949328491302735,False
CygOB2-C,PARSEC,3.5,2.6,2.0,8.0,corrected_no_absolute95_edge,,5.0,0.8046590909090909,0.5,18.0,302,245.4825578125,membership_weighted_mass_posterior_soft_bins,3355.9103187085216,2807.7142173341786,2589.735531310004,3029.946006490153,2387.5574540368802,3254.535821884091,15.942472336541556,5,0.0070102517198208135,0.7714285714285715,0.07239650145772594,2.6286231467588994,False
CygOB2-A,MIST,3.0,2.0,2.0,8.0,corrected_no_absolute95_edge,,2.75,0.8007352941176471,0.5,18.0,388,330.54566171875007,membership_weighted_mass_posterior_soft_bins,1176.7842183093987,1127.7335369729683,1064.7121905235206,1192.895873700853,1008.6472465980873,1256.662178074619,13.042275862424953,5,0.022985802061215484,-0.8285714285714287,0.04156268221574335,2.75675636276404,False
CygOB2-B,MIST,3.0,2.0,2.0,8.0,corrected_no_absolute95_edge,,5.0,0.8158333333333333,0.5,18.0,337,271.237634765625,membership_weighted_mass_posterior_soft_bins,1306.254095828305,1228.3922845279435,1154.5602075539118,1306.7501325357214,1084.8965101015422,1386.7140814066552,11.871202278063526,5,0.036595868165508576,-0.7714285714285715,0.07239650145772594,3.226065364277292,False
CygOB2-C,MIST,3.0,2.0,2.0,8.0,corrected_no_absolute95_edge,,4.25,0.8027777777777778,0.5,18.0,327,266.92970234375,membership_weighted_mass_posterior_soft_bins,1258.1656970714205,1184.972215815219,1112.8374297899034,1261.6912782165812,1046.6550246418628,1338.4268143803667,2.126010116190167,5,0.8314487409991917,0.14285714285714288,0.7871720116618076,1.1384587303957678,True
CygOB2-A,MIST,3.0,2.3,2.0,8.0,corrected_no_absolute95_edge,,2.75,0.8007352941176471,0.5,18.0,388,330.54566171875007,membership_weighted_mass_posterior_soft_bins,1712.4551315950052,1603.0576414007633,1513.1673474228517,1698.926896395248,1429.8551963230047,1788.197820320361,7.02005626342961,5,0.21915296682294264,-0.48571428571428577,0.3287230320699708,2.0157322521556122,True
CygOB2-B,MIST,3.0,2.3,2.0,8.0,corrected_no_absolute95_edge,,5.0,0.8158333333333333,0.5,18.0,337,271.237634765625,membership_weighted_mass_posterior_soft_bins,1961.991533431119,1787.8846882843382,1673.6319562757271,1907.4181924359098,1566.26192352104,2030.8312009231759,9.097292174104881,5,0.10524586199956516,0.2571428571428572,0.6227871720116619,2.9002754000383772,True
CygOB2-C,MIST,3.0,2.3,2.0,8.0,corrected_no_absolute95_edge,,4.25,0.8027777777777778,0.5,18.0,327,266.92970234375,membership_weighted_mass_posterior_soft_bins,1891.793550768265,1730.4259800175685,1618.3598334426197,1846.5899394757027,1513.1155386849364,1962.1169524071165,7.213582453250938,5,0.20523433972452568,0.8285714285714287,0.04156268221574335,2.318662177999859,False
CygOB2-A,MIST,3.0,2.6,2.0,8.0,corrected_no_absolute95_edge,,2.75,0.8007352941176471,0.5,18.0,388,330.54566171875007,membership_weighted_mass_posterior_soft_bins,2461.2624997562584,2229.7224661159607,2096.845373508287,2371.769953926567,1965.7205138231732,2510.7940875193017,7.575948716262676,5,0.18120649667833247,-0.08571428571428573,0.8717434402332361,1.5531119045431871,True
CygOB2-B,MIST,3.0,2.6,2.0,8.0,corrected_no_absolute95_edge,,5.0,0.8158333333333333,0.5,18.0,337,271.237634765625,membership_weighted_mass_posterior_soft_bins,2912.4042556920367,2527.1516833412143,2346.913649177479,2714.5331242630805,2176.586045229721,2910.228328640523,12.205299055735663,5,0.0320804608455552,0.3714285714285715,0.4684781341107872,2.7877074967756057,True
CygOB2-C,MIST,3.0,2.6,2.0,8.0,corrected_no_absolute95_edge,,4.25,0.8027777777777778,0.5,18.0,327,266.92970234375,membership_weighted_mass_posterior_soft_bins,2810.3881984229056,2448.7517401612768,2275.051858610343,2630.6547578553455,2113.474121938976,2811.423348897377,19.195261364285997,5,0.0017676127081121924,0.942857142857143,0.004804664723032055,3.687283481311593,False
CygOB2-A,MIST,3.1,2.0,2.0,8.0,corrected_no_absolute95_edge,,2.75,0.8025,0.5,18.0,389,332.597585546875,membership_weighted_mass_posterior_soft_bins,1214.2341209472881,1162.5393882264018,1097.9611632474755,1228.1982702183614,1037.4142572346143,1295.2962392815903,9.881694873408856,5,0.07865761580671038,-0.8285714285714287,0.04156268221574335,2.196030348012457,False
CygOB2-B,MIST,3.1,2.0,2.0,8.0,corrected_no_absolute95_edge,,5.0,0.8247727272727273,0.5,18.0,333,268.138183984375,membership_weighted_mass_posterior_soft_bins,1359.7072163017647,1275.1739087720593,1196.2252014368348,1356.6860502969273,1123.6374009692408,1439.0142441870148,11.184215540839258,5,0.047847421310331914,-0.7714285714285715,0.07239650145772594,2.7236989170150774,True
CygOB2-C,MIST,3.1,2.0,2.0,8.0,corrected_no_absolute95_edge,,4.5,0.7994642857142857,0.5,18.0,324,263.155141796875,membership_weighted_mass_posterior_soft_bins,1280.0227888822574,1202.9967948050444,1126.731072354059,1284.362144743829,1058.383968237298,1362.5767523403565,2.745073919957569,5,0.7392164195431732,0.7714285714285715,0.07239650145772594,1.263881632372418,True
CygOB2-A,MIST,3.1,2.3,2.0,8.0,corrected_no_absolute95_edge,,2.75,0.8025,0.5,18.0,389,332.597585546875,membership_weighted_mass_posterior_soft_bins,1773.1304793152476,1658.387003475772,1564.5095288785828,1756.553519754802,1475.614816127729,1856.0946438137019,4.95656670936076,5,0.421203840116013,-0.48571428571428577,0.3287230320699708,1.4607833707051927,True
CygOB2-B,MIST,3.1,2.3,2.0,8.0,corrected_no_absolute95_edge,,5.0,0.8247727272727273,0.5,18.0,333,268.138183984375,membership_weighted_mass_posterior_soft_bins,2058.80094782735,1866.9754074066445,1746.2063364171809,1991.0007914234236,1631.4666658140204,2115.9095736139666,8.693214446129495,5,0.12194445175024504,0.028571428571428574,0.9571545189504373,2.446604565106225,True
CygOB2-C,MIST,3.1,2.3,2.0,8.0,corrected_no_absolute95_edge,,4.5,0.7994642857142857,0.5,18.0,324,263.155141796875,membership_weighted_mass_posterior_soft_bins,1931.195934747277,1760.0028036639637,1642.2314014380424,1878.239602844252,1535.3502311811583,2001.0908024615844,9.215181848368202,5,0.10078301050908305,0.7714285714285715,0.07239650145772594,2.4511564061853703,True
CygOB2-A,MIST,3.1,2.6,2.0,8.0,corrected_no_absolute95_edge,,2.75,0.8025,0.5,18.0,389,332.597585546875,membership_weighted_mass_posterior_soft_bins,2557.1751175986246,2310.279528725846,2168.967848186216,2454.6179887739936,2030.1310623376305,2596.585702085184,6.8101381687407825,5,0.23514783691300856,0.2571428571428572,0.6227871720116619,1.5811440642379417,True
CygOB2-B,MIST,3.1,2.6,2.0,8.0,corrected_no_absolute95_edge,,5.0,0.8247727272727273,0.5,18.0,333,268.138183984375,membership_weighted_mass_posterior_soft_bins,3082.8002595291455,2648.4344995211236,2462.2267123812367,2842.284441139387,2280.5597522359512,3042.7174683260964,11.938700478811736,5,0.0356374484028337,0.08571428571428573,0.8717434402332361,2.395076418064836,True
CygOB2-C,MIST,3.1,2.6,2.0,8.0,corrected_no_absolute95_edge,,4.5,0.7994642857142857,0.5,18.0,324,263.155141796875,membership_weighted_mass_posterior_soft_bins,2879.1203897329374,2491.211441710454,2310.601637185068,2677.501014206816,2144.403533407,2863.3533360300553,22.887502389775385,5,0.0003546977032256874,0.942857142857143,0.004804664723032055,3.8426080560366485,False
CygOB2-A,MIST,3.5,2.0,2.0,8.0,corrected_no_absolute95_edge,,3.25,0.8095967741935484,0.5,18.0,386,334.59823710937496,membership_weighted_mass_posterior_soft_bins,1275.4266971830584,1216.0688864547383,1149.4716600356778,1286.1866947724095,1086.4453207032768,1356.393238862507,2.537307978470103,5,0.7708662324583466,-0.5428571428571429,0.26570262390670546,1.2202333921824522,True
CygOB2-B,MIST,3.5,2.0,2.0,8.0,corrected_no_absolute95_edge,,5.0,0.8230208333333333,0.5,18.0,320,256.04530664062503,membership_weighted_mass_posterior_soft_bins,1503.2039980681438,1395.059399517008,1304.5616419678936,1485.7193040623843,1222.8581108116994,1581.4997871272667,28.06872353133281,5,3.528994230209282e-05,-0.2571428571428572,0.6227871720116619,4.322475097002976,False
CygOB2-C,MIST,3.5,2.0,2.0,8.0,corrected_no_absolute95_edge,,4.75,0.8007291666666667,0.5,18.0,302,248.346929296875,membership_weighted_mass_posterior_soft_bins,1441.297333799774,1338.6430343269558,1250.1158656954422,1428.7140996746116,1167.7689569816528,1519.3536905013002,11.798642096083068,5,0.0376534813053589,-0.2571428571428572,0.6227871720116619,2.843197598977819,True
CygOB2-A,MIST,3.5,2.3,2.0,8.0,corrected_no_absolute95_edge,,3.25,0.8095967741935484,0.5,18.0,386,334.59823710937496,membership_weighted_mass_posterior_soft_bins,1872.5303828554577,1744.7892282302646,1646.8424137021161,1847.4843623634142,1550.0527321391844,1952.200193226678,3.732750821912051,5,0.588497786067392,0.4285714285714286,0.3965014577259473,1.5012451803657252,True
CygOB2-B,MIST,3.5,2.3,2.0,8.0,corrected_no_absolute95_edge,,5.0,0.8230208333333333,0.5,18.0,320,256.04530664062503,membership_weighted_mass_posterior_soft_bins,2317.0277078228623,2063.6601684241373,1926.9072847950458,2203.968221265894,1796.5381369945485,2353.740312641281,25.613459332205696,5,0.00010603349714098466,-0.2571428571428572,0.6227871720116619,4.263240455537014,False
CygOB2-C,MIST,3.5,2.3,2.0,8.0,corrected_no_absolute95_edge,,4.75,0.8007291666666667,0.5,18.0,302,248.346929296875,membership_weighted_mass_posterior_soft_bins,2229.828334506368,1987.6624099590208,1853.3092412313133,2128.8655432706782,1725.2322278217282,2269.863081877692,12.217007727842962,5,0.03193227267199614,-0.2571428571428572,0.6227871720116619,2.43631947957819,True
CygOB2-A,MIST,3.5,2.6,2.0,8.0,corrected_no_absolute95_edge,,3.25,0.8095967741935484,0.5,18.0,386,334.59823710937496,membership_weighted_mass_posterior_soft_bins,2714.848721052125,2439.291220638478,2289.138976921346,2595.0934819644326,2147.689049227358,2747.6311861212134,12.103106744185617,5,0.033401969501709705,0.8857142857142858,0.01884548104956266,2.5677841248276216,False
CygOB2-B,MIST,3.5,2.6,2.0,8.0,corrected_no_absolute95_edge,,5.0,0.8230208333333333,0.5,18.0,320,256.04530664062503,membership_weighted_mass_posterior_soft_bins,3535.7680370511953,2953.3673503241043,2725.378507030198,3186.4566523976832,2521.668709773689,3411.4456789125375,28.86472859759872,5,2.464826053577497e-05,-0.14285714285714288,0.7871720116618076,4.461396048383265,False
CygOB2-C,MIST,3.5,2.6,2.0,8.0,corrected_no_absolute95_edge,,4.75,0.8007291666666667,0.5,18.0,302,248.346929296875,membership_weighted_mass_posterior_soft_bins,3415.774104835011,2855.714393234618,2634.3425836648553,3082.1749029704865,2428.4256605114965,3314.986909007252,18.306220381313103,5,0.002586125136711614,0.3714285714285715,0.4684781341107872,2.5701487068355187,False
